dataset,config,operator,encoding,file,rec_tag,is_attack,n_nodes_Gp,n_edges_Gp,top_k,bfs_q,min_cluster,max_cluster,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec
e5_cadets,identity+rate,identity,rate,bin.116,atfull,True,287061,9333694,100,75,3,200,20,raw,47.5,34,20,3,0.15,0.2059,0.1736,0.2564,1,1,1,2659,7,0.0026,0.1765,0.06
e5_cadets,TeRed+naive,tered,dual_naive,bin.116,atfull,True,275848,7440800,100,75,3,200,20,raw,35.9,46,20,2,0.1,0.2609,0.1446,0.4138,2,1,1,734,12,0.0163,0.1304,0.06
e5_cadets,TeRed+RATE,tered,rate,bin.116,atfull,True,275848,7440800,100,75,3,200,20,raw,36.5,46,20,2,0.1,0.3043,0.1505,0.3571,1,1,1,1232,14,0.0114,0.1304,0.06
e5_cadets,identity+rate,identity,rate,bin.117,atfull,True,267500,9393683,100,75,3,200,20,raw,51.9,30,20,5,0.25,0.3,0.2727,0.2759,14,1,1,2927,9,0.0031,0.2667,0.08
e5_cadets,TeRed+naive,tered,dual_naive,bin.117,atfull,True,257690,8992677,100,75,3,200,20,raw,46.1,35,20,4,0.2,0.4857,0.2833,0.6538,3,1,1,1176,17,0.0145,0.2857,0.1
e5_cadets,TeRed+RATE,tered,rate,bin.117,atfull,True,257690,8992677,100,75,3,200,20,raw,43.8,35,20,5,0.25,0.5429,0.3423,0.6792,4,1,1,1599,19,0.0119,0.2857,0.1
e5_cadets,identity+rate,identity,rate,bin.118,atfull,True,265865,9399067,100,75,3,200,20,raw,49.3,27,20,8,0.4,0.5185,0.4516,0.4647,19,1,1,2855,14,0.0049,0.2593,0.07
e5_cadets,TeRed+naive,tered,dual_naive,bin.118,atfull,True,256447,8021309,100,75,3,200,20,raw,40.8,34,20,2,0.1,0.5294,0.1682,0.5,2,2,0,1526,18,0.0118,0.3235,0.11
e5_cadets,TeRed+RATE,tered,rate,bin.118,atfull,True,256447,8021309,100,75,3,200,20,raw,40.2,34,20,2,0.1,0.4412,0.163,0.5532,1,1,1,1543,15,0.0097,0.3235,0.11
e5_cadets,identity+rate,identity,rate,bin.119@500000,at500000,True,18635,476913,100,75,3,200,20,raw,7.3,10,10,1,0.1,0.8,0.1778,0.8889,1,1,1,1222,8,0.0065,0.2,0.02
e5_cadets,TeRed+naive,tered,dual_naive,bin.119@500000,at500000,True,17252,387473,100,75,3,200,20,raw,5.5,15,20,1,0.05,0.8667,0.0945,0.6341,2,2,0,1058,13,0.0123,0.1333,0.02
e5_cadets,TeRed+RATE,tered,rate,bin.119@500000,at500000,True,17252,387473,100,75,3,200,20,raw,5.6,15,20,2,0.1,0.8667,0.1793,0.7536,3,2,0,764,13,0.017,0.1333,0.02
e5_cadets,identity+rate,identity,rate,bin.120,atfull,True,295765,9324081,100,75,3,200,20,raw,45.0,21,20,2,0.1,0.3333,0.1538,0.3846,1,1,1,2851,7,0.0025,0.2857,0.06
e5_cadets,TeRed+naive,tered,dual_naive,bin.120,atfull,True,285794,7238320,100,75,3,200,20,raw,35.8,26,20,3,0.15,0.3846,0.2158,0.5556,2,1,1,1166,10,0.0086,0.2692,0.07
e5_cadets,TeRed+RATE,tered,rate,bin.120,atfull,True,285794,7238320,100,75,3,200,20,raw,36.1,26,20,2,0.1,0.3462,0.1552,0.4706,1,1,1,1594,9,0.0056,0.2692,0.07
e5_cadets,identity+rate,identity,rate,bin.6@400000,at400000,True,24507,370937,100,75,3,200,20,raw,6.7,6,20,3,0.15,0.5,0.2308,0.6667,2,1,1,885,3,0.0034,0.0,0.0
e5_cadets,TeRed+naive,tered,dual_naive,bin.6@400000,at400000,True,22350,295913,100,75,3,200,20,raw,5.0,9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,472,7,0.0148,0.0,0.0
e5_cadets,TeRed+RATE,tered,rate,bin.6@400000,at400000,True,22350,295913,100,75,3,200,20,raw,5.1,9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,616,7,0.0114,0.0,0.0
e5_cadets,identity+rate,identity,rate,bin.7@400000,at400000,True,17797,374995,100,75,3,200,20,raw,6.8,8,18,3,0.1667,0.75,0.2727,0.4615,9,1,1,1045,6,0.0057,0.0,0.0
e5_cadets,TeRed+naive,tered,dual_naive,bin.7@400000,at400000,True,16295,326814,100,75,3,200,20,raw,5.2,11,20,3,0.15,0.7273,0.2487,0.7385,4,2,0,758,8,0.0106,0.0909,0.01
e5_cadets,TeRed+RATE,tered,rate,bin.7@400000,at400000,True,16295,326814,100,75,3,200,20,raw,5.3,11,20,3,0.15,0.7273,0.2487,0.5926,6,3,0,783,8,0.0102,0.0909,0.01
