dataset,config,operator,encoding,file,rec_tag,is_attack,n_nodes_Gp,n_edges_Gp,top_k,bfs_q,min_cluster,max_cluster,max_alerts,v4_scale,agg_mode,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec
e5_cadets,identity+rate,identity,rate,bin.116,atfull,True,287061,9333694,100,75,3,200,20,raw,w1.0_cmax,44.9,34,20,5,0.25,0.2941,0.2703,0.303,16,1,1,3432,10,0.0029,0.1765,0.06
e5_cadets,TeRed+naive,tered,dual_naive,bin.116,atfull,True,275848,7440800,100,75,3,200,20,raw,w1.0_cmax,33.8,46,20,5,0.25,0.3696,0.2982,0.4645,8,1,1,2017,17,0.0084,0.1304,0.06
e5_cadets,TeRed+RATE,tered,rate,bin.116,atfull,True,275848,7440800,100,75,3,200,20,raw,w1.0_cmax,34.2,46,20,5,0.25,0.3913,0.3051,0.425,8,1,1,2418,18,0.0074,0.1304,0.06
e5_cadets,identity+rate,identity,rate,bin.117,atfull,True,267500,9393683,100,75,3,200,20,raw,w1.0_cmax,48.8,30,20,8,0.4,0.4,0.4,0.4444,16,1,1,3425,12,0.0035,0.2667,0.08
e5_cadets,TeRed+naive,tered,dual_naive,bin.117,atfull,True,257690,8992677,100,75,3,200,20,raw,w1.0_cmax,42.1,35,20,8,0.4,0.5429,0.4606,0.6538,3,1,1,2340,19,0.0081,0.2857,0.1
e5_cadets,TeRed+RATE,tered,rate,bin.117,atfull,True,257690,8992677,100,75,3,200,20,raw,w1.0_cmax,39.7,35,20,9,0.45,0.5714,0.5035,0.6792,4,1,1,2900,20,0.0069,0.2857,0.1
e5_cadets,identity+rate,identity,rate,bin.118,atfull,True,265865,9399067,100,75,3,200,20,raw,w1.0_cmax,45.6,27,20,9,0.45,0.5556,0.4972,0.6061,12,1,1,3630,15,0.0041,0.2593,0.07
e5_cadets,TeRed+naive,tered,dual_naive,bin.118,atfull,True,256447,8021309,100,75,3,200,20,raw,w1.0_cmax,37.4,34,20,6,0.3,0.6176,0.4038,0.6667,1,1,1,2711,21,0.0077,0.3235,0.11
e5_cadets,TeRed+RATE,tered,rate,bin.118,atfull,True,256447,8021309,100,75,3,200,20,raw,w1.0_cmax,36.0,34,20,6,0.3,0.6176,0.4038,0.5532,1,1,1,2562,21,0.0082,0.3235,0.11
e5_cadets,identity+rate,identity,rate,bin.119@500000,at500000,True,18635,476913,100,75,3,200,20,raw,w1.0_cmax,6.6,10,10,1,0.1,0.8,0.1778,0.8889,1,1,1,1222,8,0.0065,0.2,0.02
e5_cadets,TeRed+naive,tered,dual_naive,bin.119@500000,at500000,True,17252,387473,100,75,3,200,20,raw,w1.0_cmax,5.0,15,20,1,0.05,0.8667,0.0945,0.9286,1,1,1,1058,13,0.0123,0.1333,0.02
e5_cadets,TeRed+RATE,tered,rate,bin.119@500000,at500000,True,17252,387473,100,75,3,200,20,raw,w1.0_cmax,5.0,15,20,2,0.1,0.8667,0.1793,0.8462,1,1,1,960,13,0.0135,0.1333,0.02
e5_cadets,identity+rate,identity,rate,bin.120,atfull,True,295765,9324081,100,75,3,200,20,raw,w1.0_cmax,39.6,21,20,4,0.2,0.4286,0.2727,0.3846,1,1,1,3610,9,0.0025,0.2857,0.06
e5_cadets,TeRed+naive,tered,dual_naive,bin.120,atfull,True,285794,7238320,100,75,3,200,20,raw,w1.0_cmax,32.1,26,20,7,0.35,0.5385,0.4242,0.5556,3,1,1,2517,14,0.0056,0.2692,0.07
e5_cadets,TeRed+RATE,tered,rate,bin.120,atfull,True,285794,7238320,100,75,3,200,20,raw,w1.0_cmax,32.4,26,20,5,0.25,0.6538,0.3617,0.4706,1,1,1,2891,17,0.0059,0.2692,0.07
e5_cadets,identity+rate,identity,rate,bin.6@400000,at400000,True,24507,370937,100,75,3,200,20,raw,w1.0_cmax,5.9,6,20,3,0.15,0.5,0.2308,0.6667,2,1,1,889,3,0.0034,0.0,0.0
e5_cadets,TeRed+naive,tered,dual_naive,bin.6@400000,at400000,True,22350,295913,100,75,3,200,20,raw,w1.0_cmax,4.5,9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,613,7,0.0114,0.0,0.0
e5_cadets,TeRed+RATE,tered,rate,bin.6@400000,at400000,True,22350,295913,100,75,3,200,20,raw,w1.0_cmax,4.5,9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,619,7,0.0113,0.0,0.0
e5_cadets,identity+rate,identity,rate,bin.7@400000,at400000,True,17797,374995,100,75,3,200,20,raw,w1.0_cmax,6.1,8,18,3,0.1667,0.75,0.2727,0.6667,5,1,1,1045,6,0.0057,0.0,0.0
e5_cadets,TeRed+naive,tered,dual_naive,bin.7@400000,at400000,True,16295,326814,100,75,3,200,20,raw,w1.0_cmax,4.7,11,20,3,0.15,0.7273,0.2487,0.8421,3,1,1,759,8,0.0105,0.0909,0.01
e5_cadets,TeRed+RATE,tered,rate,bin.7@400000,at400000,True,16295,326814,100,75,3,200,20,raw,w1.0_cmax,4.7,11,20,3,0.15,0.7273,0.2487,0.7778,2,1,1,770,8,0.0104,0.0909,0.01
