n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,runtime_s
34,20,3,0.15,0.2059,0.1736,0.2564,1,1,1,2659,7,0.0026,0.1765,0.06,0.1412,0.2564,0.2273,0.2041,0.1695,0.119,0.1736,A1,base,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,13.3
34,20,0,0.0,0.0,0.0,0.0,0,0,0,20,0,0.0,0.1765,0.06,0.1412,0.0,0.0,0.0,0.0,0.0,0.0,A1,no_bfs,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,0.0
34,20,5,0.25,0.2941,0.2703,0.303,16,1,1,3432,10,0.0029,0.1765,0.06,0.1412,0.2564,0.2273,0.2041,0.1695,0.2637,0.2703,A1,no_rank,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,13.7
34,20,3,0.15,0.1765,0.1622,0.2105,1,1,1,3236,6,0.0019,0.1765,0.06,0.1412,0.2105,0.1905,0.1739,0.1481,0.1081,0.1622,A1,bfs_q50,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,13.8
34,20,1,0.05,0.0588,0.0541,0.0571,18,18,0,1461,2,0.0014,0.1765,0.06,0.1412,0.0,0.0,0.0,0.0,0.0,0.0541,A1,bfs_q90,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,12.8
34,20,5,0.25,0.2941,0.2703,0.303,16,1,1,3432,10,0.0029,0.1765,0.06,0.1412,0.2564,0.2273,0.2041,0.1695,0.2637,0.2703,A1,w100,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,13.9
34,20,3,0.15,0.2059,0.1736,0.2564,1,1,1,2659,7,0.0026,0.1765,0.06,0.1412,0.2564,0.2273,0.2041,0.1695,0.1875,0.1736,A1,w050,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,13.7
34,20,2,0.1,0.0588,0.0741,0.0909,10,7,0,2659,2,0.0008,0.1765,0.06,0.1412,0.0,0.0,0.0,0.0,0.0909,0.0741,A1,w000,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,13.8
34,20,5,0.25,0.2941,0.2703,0.303,16,1,1,3432,10,0.0029,0.1765,0.06,0.1412,0.2564,0.2273,0.2041,0.1695,0.2637,0.2703,A3,sort_cmax,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,13.8
34,20,6,0.3,0.3235,0.3113,0.3113,20,13,0,2276,11,0.0048,0.1765,0.06,0.1412,0.0,0.0,0.0,0.0,0.0,0.3113,A3,sort_p95,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,13.9
34,20,1,0.05,0.0588,0.0541,0.1111,1,1,1,276,2,0.0072,0.0,0.0,0.0149,0.1111,0.1053,0.1,0.0909,0.0741,0.0541,A4,v4_drop_log_deg,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,log_deg,13.1
