n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,runtime_s
46,20,5,0.25,0.3696,0.2982,0.4645,8,1,1,2017,17,0.0084,0.1304,0.06,0.1739,0.2963,0.2581,0.375,0.4038,0.425,0.2982,A5,enc_dual_naive,TeRed+RATE,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,34.2
46,20,4,0.2,0.3261,0.2479,0.4038,5,1,1,3043,15,0.0049,0.087,0.04,0.08,0.3571,0.303,0.2632,0.4038,0.3022,0.2479,A5,enc_rate_single,TeRed+RATE,rate_single,bin.116,atfull,100,20,raw,275848,7440800,36.2
46,1,0,0.0,0.0,0.0,0.0,0,0,0,46,0,0.0,0.0,0.0,0.0034,0.0,,,,,,A5,enc_none,TeRed+RATE,none,bin.116,atfull,100,20,raw,275848,7440800,29.7
35,20,8,0.4,0.5429,0.4606,0.6538,3,1,1,2340,19,0.0081,0.2857,0.1,0.2133,0.4444,0.5417,0.6538,0.6044,0.6115,0.4606,A5,enc_dual_naive,TeRed+RATE,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,42.4
35,20,5,0.25,0.5714,0.3478,0.6538,3,1,1,3050,20,0.0066,0.0,0.0,0.0947,0.4444,0.5417,0.6538,0.5368,0.4606,0.3478,A5,enc_rate_single,TeRed+RATE,rate_single,bin.117,atfull,100,20,raw,257690,8992677,42.0
35,1,0,0.0,0.0,0.0,0.0,0,0,0,44,0,0.0,0.0,0.0,0.0051,0.0,,,,,,A5,enc_none,TeRed+RATE,none,bin.117,atfull,100,20,raw,257690,8992677,36.2
34,20,6,0.3,0.6176,0.4038,0.6667,1,1,1,2711,21,0.0077,0.3235,0.11,0.2018,0.6667,0.5,0.4,0.2857,0.383,0.4038,A5,enc_dual_naive,TeRed+RATE,dual_naive,bin.118,atfull,100,20,raw,256447,8021309,37.7
34,20,6,0.3,0.6471,0.4099,0.6667,3,1,1,3188,22,0.0069,0.1176,0.04,0.1183,0.5833,0.6122,0.6667,0.5455,0.4557,0.4099,A5,enc_rate_single,TeRed+RATE,rate_single,bin.118,atfull,100,20,raw,256447,8021309,37.7
34,1,1,1.0,0.0294,0.0571,0.0571,1,1,1,52,1,0.0192,0.0,0.0,0.006,0.0571,,,,,,A5,enc_none,TeRed+RATE,none,bin.118,atfull,100,20,raw,256447,8021309,32.7
15,20,1,0.05,0.8667,0.0945,0.9286,1,1,1,1058,13,0.0123,0.1333,0.02,0.2353,0.9286,0.6341,0.4815,0.325,0.1793,0.0945,A5,enc_dual_naive,TeRed+RATE,dual_naive,bin.119@500000,at500000,100,20,raw,17252,387473,5.1
