n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,runtime_s
46,20,5,0.25,0.3696,0.2982,0.4645,8,1,1,2017,17,0.0084,0.1304,0.06,0.1739,0.2963,0.2581,0.375,0.4038,0.425,0.2982,A5,enc_dual_naive,TeRed+RATE,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,36.5
46,20,5,0.25,0.3696,0.2982,0.4871,7,1,1,2743,17,0.0062,0.1304,0.06,0.1818,0.3571,0.303,0.375,0.4404,0.425,0.2982,A5,enc_rate_ratio,TeRed+RATE,rate_ratio,bin.116,atfull,100,20,raw,275848,7440800,36.6
46,20,5,0.25,0.3478,0.2909,0.4678,7,1,1,2295,16,0.007,0.1304,0.06,0.1791,0.3571,0.303,0.375,0.3842,0.4103,0.2909,A5,enc_rate_ratio_only,TeRed+RATE,rate_ratio_only,bin.116,atfull,100,20,raw,275848,7440800,36.1
46,20,4,0.2,0.3261,0.2479,0.4152,7,1,1,2593,15,0.0058,0.1304,0.06,0.1791,0.3273,0.386,0.352,0.2993,0.3593,0.2479,A5,enc_rate_rank,TeRed+RATE,rate_rank,bin.116,atfull,100,20,raw,275848,7440800,36.1
35,20,8,0.4,0.5429,0.4606,0.6538,3,1,1,2340,19,0.0081,0.2857,0.1,0.2133,0.4444,0.5417,0.6538,0.6044,0.6115,0.4606,A5,enc_dual_naive,TeRed+RATE,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,45.1
35,20,7,0.35,0.6,0.4421,0.6538,3,1,1,2572,21,0.0082,0.2857,0.1,0.2222,0.3721,0.5417,0.6538,0.5368,0.6,0.4421,A5,enc_rate_ratio,TeRed+RATE,rate_ratio,bin.117,atfull,100,20,raw,257690,8992677,44.0
35,20,9,0.45,0.5429,0.4921,0.568,4,1,1,2919,19,0.0065,0.2857,0.1,0.2192,0.5417,0.4262,0.5,0.5189,0.507,0.4921,A5,enc_rate_ratio_only,TeRed+RATE,rate_ratio_only,bin.117,atfull,100,20,raw,257690,8992677,43.8
35,20,7,0.35,0.6286,0.4496,0.614,10,1,1,2361,22,0.0093,0.2857,0.1,0.2192,0.4444,0.5417,0.4771,0.5538,0.614,0.4496,A5,enc_rate_rank,TeRed+RATE,rate_rank,bin.117,atfull,100,20,raw,257690,8992677,44.2
34,20,6,0.3,0.6176,0.4038,0.6667,1,1,1,2711,21,0.0077,0.3235,0.11,0.2018,0.6667,0.5,0.4,0.2857,0.383,0.4038,A5,enc_dual_naive,TeRed+RATE,dual_naive,bin.118,atfull,100,20,raw,256447,8021309,41.8
34,20,6,0.3,0.6765,0.4157,0.5532,1,1,1,2522,23,0.0091,0.3235,0.11,0.2037,0.5532,0.4333,0.3562,0.4196,0.3664,0.4157,A5,enc_rate_ratio,TeRed+RATE,rate_ratio,bin.118,atfull,100,20,raw,256447,8021309,40.1
34,20,7,0.35,0.5294,0.4214,0.5833,3,1,1,2644,18,0.0068,0.3235,0.11,0.2,0.4545,0.5217,0.5833,0.4884,0.4196,0.4214,A5,enc_rate_ratio_only,TeRed+RATE,rate_ratio_only,bin.118,atfull,100,20,raw,256447,8021309,39.5
34,20,5,0.25,0.5,0.3333,0.6122,2,1,1,2175,17,0.0078,0.3235,0.11,0.2018,0.5833,0.6122,0.531,0.4196,0.3664,0.3333,A5,enc_rate_rank,TeRed+RATE,rate_rank,bin.118,atfull,100,20,raw,256447,8021309,39.4
15,20,1,0.05,0.8667,0.0945,0.9286,1,1,1,1058,13,0.0123,0.1333,0.02,0.2353,0.9286,0.6341,0.4815,0.325,0.1793,0.0945,A5,enc_dual_naive,TeRed+RATE,dual_naive,bin.119@500000,at500000,100,20,raw,17252,387473,5.0
15,20,2,0.1,0.8667,0.1793,0.8462,1,1,1,977,13,0.0133,0.1333,0.02,0.2353,0.8462,0.5946,0.7536,0.5474,0.325,0.1793,A5,enc_rate_ratio,TeRed+RATE,rate_ratio,bin.119@500000,at500000,100,20,raw,17252,387473,5.5
15,18,2,0.1111,0.8667,0.197,0.8462,1,1,1,849,13,0.0153,0.1333,0.02,0.2222,0.8462,0.5946,0.7536,0.5474,0.325,,A5,enc_rate_ratio_only,TeRed+RATE,rate_ratio_only,bin.119@500000,at500000,100,20,raw,17252,387473,5.5
15,19,1,0.0526,0.8667,0.0992,0.9286,1,1,1,877,13,0.0148,0.1333,0.02,0.2353,0.9286,0.6341,0.4815,0.325,0.1793,,A5,enc_rate_rank,TeRed+RATE,rate_rank,bin.119@500000,at500000,100,20,raw,17252,387473,5.5
26,20,7,0.35,0.5385,0.4242,0.5556,3,1,1,2517,14,0.0056,0.2692,0.07,0.2034,0.4706,0.4706,0.5556,0.4688,0.48,0.4242,A5,enc_dual_naive,TeRed+RATE,dual_naive,bin.120,atfull,100,20,raw,285794,7238320,37.8
26,20,7,0.35,0.5385,0.4242,0.5957,9,1,1,2487,14,0.0056,0.2692,0.07,0.2069,0.4706,0.381,0.4878,0.3922,0.5676,0.4242,A5,enc_rate_ratio,TeRed+RATE,rate_ratio,bin.120,atfull,100,20,raw,285794,7238320,36.4
26,20,7,0.35,0.5769,0.4357,0.5882,10,1,1,2169,15,0.0069,0.2692,0.07,0.2069,0.4706,0.381,0.4557,0.4962,0.5882,0.4357,A5,enc_rate_ratio_only,TeRed+RATE,rate_ratio_only,bin.120,atfull,100,20,raw,285794,7238320,36.1
26,20,5,0.25,0.5385,0.3415,0.5185,8,1,1,2502,14,0.0056,0.3077,0.08,0.2069,0.4706,0.381,0.32,0.3922,0.459,0.3415,A5,enc_rate_rank,TeRed+RATE,rate_rank,bin.120,atfull,100,20,raw,285794,7238320,36.3
9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,613,7,0.0114,0.0,0.0,0.0046,0.2,0.875,0.7179,0.5283,0.3182,0.1772,A5,enc_dual_naive,TeRed+RATE,dual_naive,bin.6@400000,at400000,100,20,raw,22350,295913,4.7
9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,601,7,0.0116,0.0,0.0,0.0059,0.2,0.875,0.7179,0.5283,0.3182,0.1772,A5,enc_rate_ratio,TeRed+RATE,rate_ratio,bin.6@400000,at400000,100,20,raw,22350,295913,5.2
9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,576,7,0.0122,0.0,0.0,0.0056,0.2,0.875,0.7179,0.5283,0.3182,0.1772,A5,enc_rate_ratio_only,TeRed+RATE,rate_ratio_only,bin.6@400000,at400000,100,20,raw,22350,295913,5.2
9,20,2,0.1,0.7778,0.1772,0.875,2,1,1,825,7,0.0085,0.0,0.0,0.0053,0.2,0.875,0.7179,0.5283,0.3182,0.1772,A5,enc_rate_rank,TeRed+RATE,rate_rank,bin.6@400000,at400000,100,20,raw,22350,295913,5.2
11,20,3,0.15,0.7273,0.2487,0.8421,3,1,1,759,8,0.0105,0.0909,0.01,0.1538,0.5333,0.625,0.8421,0.6575,0.4248,0.2487,A5,enc_dual_naive,TeRed+RATE,dual_naive,bin.7@400000,at400000,100,20,raw,16295,326814,4.7
11,20,3,0.15,0.7273,0.2487,0.7778,2,1,1,770,8,0.0104,0.0909,0.01,0.1538,0.7059,0.7778,0.6512,0.4912,0.4248,0.2487,A5,enc_rate_ratio,TeRed+RATE,rate_ratio,bin.7@400000,at400000,100,20,raw,16295,326814,5.3
11,17,3,0.1765,0.7273,0.284,0.7778,2,1,1,715,8,0.0112,0.0909,0.01,0.1538,0.7059,0.7778,0.6512,0.4912,0.4248,,A5,enc_rate_ratio_only,TeRed+RATE,rate_ratio_only,bin.7@400000,at400000,100,20,raw,16295,326814,5.3
11,17,3,0.1765,0.7273,0.284,0.7778,2,1,1,689,8,0.0116,0.0909,0.01,0.1538,0.7059,0.7778,0.6512,0.4912,0.4248,,A5,enc_rate_rank,TeRed+RATE,rate_rank,bin.7@400000,at400000,100,20,raw,16295,326814,5.3
