detector,operator,config,encoding,file,rec_tag,train_scheme,n_nodes_Gp,n_edges_Gp,op_quantile,op_threshold,node_ROC_AUC,node_PR_AUC,node_best_F1,node_FPR,node_Precision,node_Recall,P@100,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,n_alerted_nodes,covered_gt,node_prec,F1_alert@5,F1_alert@10,F1_alert@20
cosine,identity,identity+rate,rate,bin.116,atfull,clean,287061,9333694,95.0,0.5259,0.8076,0.0154,0.1412,0.110505,0.0005,0.4706,0.06,34,20,5,0.25,0.3235,0.2821,3432,11,0.0032,0.1695,0.2812,0.2821
cosine,identity,identity+rate,rate,bin.117,atfull,clean,267500,9393683,95.0,0.5259,0.9012,0.0244,0.1579,0.108412,0.0004,0.4,0.08,30,20,8,0.4,0.5,0.4444,3425,15,0.0044,0.3,0.3636,0.4444
cosine,identity,identity+rate,rate,bin.118,atfull,clean,265865,9399067,95.0,0.5259,0.9025,0.0264,0.1351,0.112189,0.0004,0.4444,0.07,27,20,9,0.45,0.7407,0.5599,3630,20,0.0055,0.3146,0.5963,0.5599
cosine,identity,identity+rate,rate,bin.119@500000,at500000,clean,18635,476913,95.0,0.5259,0.9021,0.0701,0.2857,0.058846,0.0027,0.3,0.02,10,10,1,0.1,0.8,0.1778,1222,8,0.0065,0.32,0.1778,
cosine,identity,identity+rate,rate,bin.120,atfull,clean,295765,9324081,95.0,0.5259,0.9124,0.0214,0.1389,0.112452,0.0003,0.5238,0.06,21,20,4,0.2,0.4762,0.2817,3610,10,0.0028,0.2174,0.2353,0.2817
cosine,identity,identity+rate,rate,bin.6@400000,at400000,clean,24507,370937,95.0,0.5259,0.7887,0.0008,0.004,0.065263,0.0,0.0,0.0,6,20,3,0.15,0.6667,0.2449,889,4,0.0045,0.6316,0.4138,0.2449
cosine,identity,identity+rate,rate,bin.7@400000,at400000,clean,17797,374995,95.0,0.5259,0.7171,0.0013,0.0059,0.063972,0.0,0.0,0.0,8,18,3,0.1667,0.75,0.2727,1045,6,0.0057,0.6667,0.4286,
cosine,tered,tered+rate_ratio,rate_ratio,bin.116,atfull,clean,275848,7440800,95.0,0.3145,0.814,0.0253,0.1818,0.157435,0.0006,0.5652,0.06,46,20,5,0.25,0.3913,0.3051,2743,18,0.0066,0.4404,0.439,0.3051
cosine,tered,tered+rate_ratio,rate_ratio,bin.117,atfull,clean,257690,8992677,95.0,0.3145,0.9021,0.0417,0.2222,0.154101,0.0007,0.7714,0.1,35,20,7,0.35,0.6857,0.4634,2572,24,0.0093,0.5368,0.6273,0.4634
cosine,tered,tered+rate_ratio,rate_ratio,bin.118,atfull,clean,256447,8021309,95.0,0.3145,0.9036,0.0412,0.2037,0.154466,0.0007,0.8235,0.11,34,20,6,0.3,0.7647,0.4309,2522,26,0.0103,0.4196,0.3664,0.4309
cosine,tered,tered+rate_ratio,rate_ratio,bin.119@500000,at500000,clean,17252,387473,95.0,0.3145,0.9196,0.0721,0.2353,0.059175,0.0078,0.5333,0.02,15,20,2,0.1,0.8667,0.1793,977,13,0.0133,0.5474,0.325,0.1793
