detector,operator,config,encoding,file,rec_tag,train_scheme,n_nodes_Gp,n_edges_Gp,op_quantile,op_threshold,node_ROC_AUC,node_PR_AUC,node_best_F1,node_FPR,node_Precision,node_Recall,P@100,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,n_alerted_nodes,covered_gt,node_prec,F1_alert@5,F1_alert@10,F1_alert@20
cosine,identity,identity+rate,rate,bin.116,atfull,all,287061,9333694,95.0,0.5259,0.8076,0.0154,0.1412,0.110505,0.0005,0.4706,0.06,34,20,5,0.25,0.3235,0.2821,3432,11,0.0032,0.1695,0.2812,0.2821
cosine,identity,identity+rate,rate,bin.117,atfull,all,267500,9393683,95.0,0.5259,0.9012,0.0244,0.1579,0.108412,0.0004,0.4,0.08,30,20,8,0.4,0.5,0.4444,3425,15,0.0044,0.3,0.3636,0.4444
cosine,identity,identity+rate,rate,bin.118,atfull,all,265865,9399067,95.0,0.5259,0.9025,0.0264,0.1351,0.112189,0.0004,0.4444,0.07,27,20,9,0.45,0.7407,0.5599,3630,20,0.0055,0.3146,0.5963,0.5599
cosine,identity,identity+rate,rate,bin.119@500000,at500000,all,18635,476913,95.0,0.5259,0.9021,0.0701,0.2857,0.058846,0.0027,0.3,0.02,10,10,1,0.1,0.8,0.1778,1222,8,0.0065,0.32,0.1778,
cosine,identity,identity+rate,rate,bin.120,atfull,all,295765,9324081,95.0,0.5259,0.9124,0.0214,0.1389,0.112452,0.0003,0.5238,0.06,21,20,4,0.2,0.4762,0.2817,3610,10,0.0028,0.2174,0.2353,0.2817
cosine,identity,identity+rate,rate,bin.6@400000,at400000,all,24507,370937,95.0,0.5259,0.7887,0.0008,0.004,0.065263,0.0,0.0,0.0,6,20,3,0.15,0.6667,0.2449,889,4,0.0045,0.6316,0.4138,0.2449
cosine,identity,identity+rate,rate,bin.7@400000,at400000,all,17797,374995,95.0,0.5259,0.7171,0.0013,0.0059,0.063972,0.0,0.0,0.0,8,18,3,0.1667,0.75,0.2727,1045,6,0.0057,0.6667,0.4286,
gnn,identity,identity+rate,rate,bin.116,atfull,all,287061,9333694,95.0,1.1576,0.6929,0.0038,0.0302,0.025262,0.0019,0.4118,0.01,34,20,7,0.35,0.2647,0.3014,4000,9,0.0022,0.2484,0.2609,0.3014
gnn,identity,identity+rate,rate,bin.117,atfull,all,267500,9393683,95.0,1.1576,0.6548,0.001,0.0155,0.021879,0.0009,0.1667,0.0,30,9,3,0.3333,0.2333,0.2745,1800,7,0.0039,0.336,,
gnn,identity,identity+rate,rate,bin.118,atfull,all,265865,9399067,95.0,1.1576,0.7217,0.0011,0.0183,0.020753,0.0009,0.1852,0.0,27,5,2,0.4,0.2222,0.2857,1000,6,0.006,0.2857,,
