detector,operator,config,encoding,file,rec_tag,train_scheme,n_nodes_Gp,n_edges_Gp,op_quantile,op_threshold,node_ROC_AUC,node_PR_AUC,node_best_F1,node_FPR,node_Precision,node_Recall,P@100,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,n_alerted_nodes,covered_gt,node_prec,F1_alert@5,F1_alert@10,F1_alert@20
cosine,identity,identity+rate_ratio,rate_ratio,bin.116,atfull,all,287061,9333694,95.0,0.4984,0.8111,0.0168,0.1463,0.110885,0.0005,0.4706,0.06,34,20,5,0.25,0.3235,0.2821,3432,11,0.0032,0.1695,0.2637,0.2821
cosine,identity,identity+rate_ratio,rate_ratio,bin.117,atfull,all,267500,9393683,95.0,0.4984,0.902,0.0263,0.1667,0.108651,0.0004,0.4,0.08,30,20,8,0.4,0.6,0.48,3425,18,0.0053,0.2,0.525,0.48
cosine,identity,identity+rate_ratio,rate_ratio,bin.118,atfull,all,265865,9399067,95.0,0.4984,0.905,0.028,0.1429,0.112343,0.0004,0.4444,0.07,27,20,9,0.45,0.7407,0.5599,3630,20,0.0055,0.3146,0.6145,0.5599
cosine,identity,identity+rate_ratio,rate_ratio,bin.119@500000,at500000,all,18635,476913,95.0,0.4984,0.9043,0.07,0.2857,0.058846,0.0027,0.3,0.02,10,20,1,0.05,0.8,0.0941,1078,8,0.0074,0.32,0.1778,0.0941
cosine,identity,identity+rate_ratio,rate_ratio,bin.120,atfull,all,295765,9324081,95.0,0.4984,0.9144,0.0213,0.1389,0.112679,0.0003,0.5238,0.06,21,20,4,0.2,0.4762,0.2817,3610,10,0.0028,0.2174,0.2353,0.2817
cosine,identity,identity+rate_ratio,rate_ratio,bin.6@400000,at400000,all,24507,370937,95.0,0.4984,0.7894,0.0008,0.004,0.065344,0.0,0.0,0.0,6,20,3,0.15,0.6667,0.2449,757,4,0.0053,0.6316,0.4138,0.2449
cosine,identity,identity+rate_ratio,rate_ratio,bin.7@400000,at400000,all,17797,374995,95.0,0.4984,0.7195,0.0013,0.006,0.064141,0.0,0.0,0.0,8,20,3,0.15,0.75,0.25,1102,6,0.0054,0.3871,0.4286,0.25
gnn,identity,identity+rate_ratio,rate_ratio,bin.116,atfull,all,287061,9333694,95.0,2.2098,0.5435,0.0005,0.0142,0.093479,0.0003,0.2647,0.0,34,20,5,0.25,0.2941,0.2703,3634,10,0.0028,0.1818,0.1974,0.2703
gnn,identity,identity+rate_ratio,rate_ratio,bin.117,atfull,all,267500,9393683,95.0,2.2098,0.5782,0.0004,0.008,0.098078,0.0002,0.1667,0.0,30,9,1,0.1111,0.1,0.1053,1800,3,0.0017,0.1333,,
gnn,identity,identity+rate_ratio,rate_ratio,bin.118,atfull,all,265865,9399067,95.0,2.2098,0.6568,0.0006,0.0095,0.088197,0.0002,0.1852,0.0,27,10,2,0.2,0.2963,0.2388,2000,8,0.004,0.3404,0.2388,
gnn,identity,identity+rate_ratio,rate_ratio,bin.119@500000,at500000,all,18635,476913,95.0,2.2098,0.832,0.0321,0.1558,0.002846,0.0536,0.3,0.06,10,8,4,0.5,0.7,0.5833,968,7,0.0072,0.7467,,
gnn,identity,identity+rate_ratio,rate_ratio,bin.120,atfull,all,295765,9324081,95.0,2.2098,0.5931,0.0007,0.0098,0.05121,0.0005,0.3333,0.0,21,8,2,0.25,0.2381,0.2439,1600,5,0.0031,0.1667,,
gnn,identity,identity+rate_ratio,rate_ratio,bin.6@400000,at400000,all,24507,370937,95.0,2.2098,0.6719,0.014,0.0968,0.138198,0.0009,0.5,0.03,6,4,1,0.25,0.6667,0.3636,283,4,0.0141,,,
gnn,identity,identity+rate_ratio,rate_ratio,bin.7@400000,at400000,all,17797,374995,95.0,2.2098,0.4997,0.0199,0.1429,0.001181,0.087,0.25,0.02,8,3,1,0.3333,0.125,0.1818,218,1,0.0046,,,
