tpl_idx,tpl_id,n_tpl_nodes,root_type,root_in,root_out,n_seeds,n_attempts,n_instances,match_s
0,tpl_100,18,process,2,17,463,463,1,35.9317
1,tpl_123,17,process,2,16,464,463,0,32.7699
2,tpl_101,16,process,0,15,559,557,5,0.2828
3,tpl_102,13,process,2,12,500,495,1,1.2996
4,tpl_124,13,process,2,12,500,493,0,1.5507
5,tpl_125,12,process,0,6,1480,1460,2,0.4463
6,tpl_126,12,process,0,6,1480,1458,0,0.2897
7,tpl_103,11,process,2,10,984,969,0,15.4012
8,tpl_127,11,process,1,11,1025,1009,0,5.2813
9,tpl_128,9,process,1,9,1194,1177,3,5.7955
10,tpl_129,8,process,0,7,1466,1443,2,0.4103
11,tpl_142,7,process,1,7,1427,1406,0,0.0434
12,tpl_49,7,process,1,7,1427,1406,0,0.0446
13,tpl_110,7,process,0,6,1480,1453,1,2.3441
14,tpl_13,7,process,1,7,1427,1405,0,0.1516
15,tpl_33,7,process,1,7,1427,1405,0,3.5268
16,tpl_105,7,process,1,7,1427,1399,14,0.1072
17,tpl_133,7,process,1,7,1427,1385,0,0.1026
18,tpl_143,7,process,1,7,1427,1385,0,15.3243
19,tpl_18,7,process,1,7,1427,1385,0,2.327
20,tpl_27,7,process,1,7,1427,1385,0,18.1606
21,tpl_38,7,process,1,7,1427,1385,0,0.1067
22,tpl_43,7,process,1,7,1427,1385,0,18.9836
23,tpl_79,7,process,1,7,1427,1385,0,0.0708
24,tpl_138,7,process,1,7,1427,1385,0,2.129
25,tpl_144,7,process,1,7,1427,1385,0,4.1763
26,tpl_48,7,process,1,7,1427,1385,0,20.9645
27,tpl_50,7,process,1,7,1427,1385,0,0.0436
28,tpl_71,7,process,1,7,1427,1385,0,0.2874
29,tpl_82,7,process,1,7,1427,1385,0,18.3989
30,tpl_108,7,process,1,7,1427,1385,0,0.1281
31,tpl_132,7,process,1,7,1427,1385,0,0.1433
32,tpl_140,7,process,2,6,1247,1210,0,0.1431
33,tpl_80,7,process,1,7,1427,1385,0,0.1026
34,tpl_81,7,process,1,7,1427,1385,0,0.0479
35,tpl_106,7,process,1,7,1427,1385,0,0.0914
36,tpl_107,7,process,1,7,1427,1385,0,17.3124
37,tpl_130,7,process,0,6,1480,1432,0,0.1136
38,tpl_131,7,process,1,7,1427,1385,0,0.1182
39,tpl_134,7,process,1,7,1427,1385,0,0.0846
40,tpl_135,7,process,1,7,1427,1385,0,0.1407
41,tpl_145,7,process,2,6,1247,1210,0,0.0416
42,tpl_146,7,process,1,7,1427,1385,0,23.5806
43,tpl_34,7,process,1,7,1427,1385,1,18.6999
44,tpl_59,7,process,1,7,1427,1384,0,6.048
45,tpl_109,7,process,2,6,1247,1209,0,2.9513
46,tpl_136,7,process,1,7,1427,1384,12,0.1873
47,tpl_139,7,process,1,7,1427,1372,0,0.1863
48,tpl_147,7,process,1,7,1427,1372,0,0.1936
49,tpl_104,7,process,1,7,1427,1372,0,0.0611
50,tpl_137,7,process,1,7,1427,1372,0,0.0967
51,tpl_148,7,process,1,7,1427,1372,0,0.8029
52,tpl_141,7,process,0,1,2283,2190,5,0.0549
53,tpl_86,6,process,1,6,1438,1361,0,0.0313
54,tpl_39,6,process,1,6,1438,1361,0,3.2476
55,tpl_6,6,process,1,6,1438,1361,0,0.0409
56,tpl_24,6,process,1,6,1438,1361,0,20.0448
57,tpl_52,6,process,0,5,1531,1438,1,0.0465
58,tpl_60,6,process,1,6,1438,1361,1,0.1085
59,tpl_73,6,process,1,6,1438,1360,0,2.0204
60,tpl_111,6,process,1,6,1438,1360,0,0.1928
61,tpl_35,6,process,1,6,1438,1360,0,0.1044
62,tpl_51,6,process,1,6,1438,1360,0,0.3336
63,tpl_72,6,process,1,6,1438,1360,0,0.0375
64,tpl_85,6,process,1,6,1438,1360,0,0.0806
65,tpl_150,6,process,1,6,1438,1360,0,0.7396
66,tpl_19,6,process,1,6,1438,1360,0,0.2498
67,tpl_20,6,process,1,6,1438,1360,0,0.031
68,tpl_21,6,process,1,6,1438,1360,0,0.0469
69,tpl_44,6,process,1,6,1438,1360,0,17.013
70,tpl_45,6,process,1,6,1438,1360,0,0.1819
71,tpl_74,6,process,1,6,1438,1360,0,0.182
72,tpl_83,6,process,0,5,1531,1436,0,0.1005
73,tpl_87,6,process,1,6,1438,1360,0,0.78
74,tpl_149,6,process,1,6,1438,1360,0,0.0572
75,tpl_153,6,process,1,6,1438,1360,0,0.1774
76,tpl_62,6,process,1,6,1438,1360,0,19.6645
77,tpl_112,6,process,1,6,1438,1360,0,0.0296
78,tpl_154,6,process,2,5,1283,1202,0,0.152
79,tpl_40,6,process,1,6,1438,1360,0,4.0608
80,tpl_61,6,process,1,6,1438,1360,0,3.7247
81,tpl_84,6,process,1,6,1438,1360,0,0.1092
82,tpl_151,6,process,2,5,1283,1202,0,0.0282
83,tpl_152,6,process,1,6,1438,1360,0,18.8648
84,tpl_116,5,process,1,3,1987,1898,0,47.1985
85,tpl_31,5,process,1,5,1487,1399,0,0.0825
86,tpl_3,5,process,1,5,1487,1399,0,0.0269
87,tpl_54,5,process,1,5,1487,1399,0,3.5538
88,tpl_89,5,process,1,5,1487,1399,0,0.1761
89,tpl_16,5,process,1,5,1487,1399,0,0.1549
90,tpl_25,5,process,1,5,1487,1399,0,0.1727
91,tpl_64,5,process,1,5,1487,1399,0,0.0466
92,tpl_160,5,process,2,4,1601,1520,0,0.0624
93,tpl_28,5,process,1,5,1487,1399,0,0.094
94,tpl_53,5,process,1,5,1487,1399,0,0.1049
95,tpl_76,5,process,1,5,1487,1399,0,0.0249
96,tpl_90,5,process,1,5,1487,1399,0,0.0566
97,tpl_114,5,process,0,4,1896,1800,0,0.0435
98,tpl_117,5,process,0,4,1896,1800,0,0.4021
99,tpl_118,5,process,0,4,1896,1800,0,0.6662
100,tpl_12,5,process,1,5,1487,1399,0,1.5644
101,tpl_15,5,process,1,5,1487,1399,0,17.3205
102,tpl_65,5,process,2,4,1601,1520,0,0.0343
103,tpl_66,5,process,1,5,1487,1399,0,0.1886
104,tpl_155,5,process,1,5,1487,1399,20,0.0271
105,tpl_156,5,process,1,5,1487,1379,0,0.0469
106,tpl_157,5,process,1,5,1487,1379,1,0.0723
107,tpl_159,5,process,1,5,1487,1377,0,0.4474
108,tpl_162,5,process,1,3,1987,1876,0,8.5135
109,tpl_41,5,process,1,5,1487,1377,0,17.679
110,tpl_63,5,process,1,5,1487,1377,0,0.0294
111,tpl_67,5,process,1,5,1487,1377,0,0.1819
112,tpl_75,5,process,1,5,1487,1377,0,0.0463
113,tpl_158,5,process,1,5,1487,1377,0,0.4192
114,tpl_161,5,process,1,3,1987,1876,0,15.9269
115,tpl_77,5,process,1,5,1487,1377,0,3.5494
116,tpl_88,5,process,0,4,1896,1778,0,0.1015
117,tpl_91,5,process,1,5,1487,1377,0,0.0714
118,tpl_92,5,process,0,4,1896,1778,1,0.0351
119,tpl_113,5,process,1,5,1487,1377,0,0.1012
120,tpl_115,5,process,2,4,1601,1499,0,0.0276
121,tpl_163,5,process,0,3,2068,1927,12,0.039
122,tpl_164,5,process,1,3,1987,1840,0,0.158
123,tpl_7,4,process,1,4,1847,1700,0,0.3935
124,tpl_8,4,process,1,4,1847,1700,0,0.0258
125,tpl_10,4,process,1,4,1847,1700,0,0.1552
126,tpl_30,4,process,1,4,1847,1623,125,0.0685
127,tpl_55,4,process,1,4,1847,1459,0,0.068
128,tpl_2,4,process,1,4,1847,1459,1,0.0231
129,tpl_17,4,process,1,4,1847,1458,3,0.0287
130,tpl_29,4,process,1,4,1847,1455,0,0.0637
131,tpl_42,4,process,1,4,1847,1455,0,0.0379
132,tpl_165,4,process,1,4,1847,1455,0,0.0366
133,tpl_56,4,process,0,3,2068,1664,1,0.0264
134,tpl_68,4,process,0,3,2068,1663,0,0.0412
135,tpl_96,4,process,1,4,1847,1449,6,0.1579
136,tpl_119,4,process,0,3,2068,1651,0,0.0413
137,tpl_170,4,process,1,4,1847,1443,0,0.039
138,tpl_9,4,process,1,4,1847,1443,0,0.0234
139,tpl_36,4,process,1,4,1847,1443,0,0.0376
140,tpl_46,4,process,1,4,1847,1443,0,0.3745
141,tpl_78,4,process,1,4,1847,1443,0,3.2794
142,tpl_93,4,process,0,3,2068,1651,1,0.0338
143,tpl_94,4,process,1,4,1847,1443,0,0.0378
144,tpl_95,4,process,2,3,1607,1239,0,0.0192
145,tpl_120,4,process,1,4,1847,1443,0,0.1635
146,tpl_168,4,process,0,3,2068,1650,0,3.3435
147,tpl_169,4,process,1,2,2049,1637,1,0.3141
148,tpl_121,4,process,1,3,1987,1577,5,0.0294
149,tpl_166,4,process,2,3,1607,1231,0,0.0202
150,tpl_171,4,process,1,4,1847,1432,0,0.0609
151,tpl_32,4,process,1,2,2049,1623,21,0.0288
152,tpl_167,4,process,0,2,2140,1664,1,0.0243
153,tpl_70,3,file,2,0,1327,1016,77,0.0127
154,tpl_1,3,process,1,3,1987,1386,73,0.0203
155,tpl_14,3,process,1,3,1987,1313,0,0.0177
156,tpl_0,3,process,1,3,1987,1313,1,0.0157
157,tpl_5,3,process,1,3,1987,1312,0,0.0166
158,tpl_22,3,process,1,3,1987,962,300,0.0156
159,tpl_23,3,process,1,3,1987,1012,0,0.0254
160,tpl_26,3,process,1,3,1987,917,108,0.0146
161,tpl_4,3,process,1,3,1987,806,0,0.1097
162,tpl_47,3,process,1,3,1987,806,0,0.111
163,tpl_98,3,process,1,3,1987,806,18,0.0122
164,tpl_11,3,process,1,3,1987,788,0,0.1179
165,tpl_37,3,process,1,3,1987,788,0,0.0221
166,tpl_57,3,process,1,3,1987,788,0,0.0219
167,tpl_58,3,process,0,2,2140,911,0,0.0108
168,tpl_69,3,process,0,2,2140,911,19,0.0126
169,tpl_97,3,process,1,3,1987,788,16,0.0115
170,tpl_99,3,process,2,2,1616,625,0,0.0078
171,tpl_172,3,process,0,2,2140,868,10,0.0124
172,tpl_122,3,process,1,0,2225,968,4,0.0113
