spec,config,gt_entities,gt_entities_reduced,n_nodes_real,n_nodes_benign,alerts_real,alerted_nodes_real,alerts_benign,alerted_nodes_benign,false_alerts
bin.116,identity+rate,34,46,287061,287027,20,2677,20,2889,20
bin.116,TeRed+count,34,46,275848,275802,20,1105,20,1074,20
bin.116,TeRed+RATE*,34,46,275848,275802,20,1237,20,2712,20
bin.117,identity+rate,30,35,267500,267470,20,3251,20,2486,20
bin.117,TeRed+count,30,35,257690,257655,20,1360,20,1850,20
bin.117,TeRed+RATE*,30,35,257690,257655,20,1581,20,2719,20
bin.118,identity+rate,27,34,265865,265838,20,2952,20,3231,20
bin.118,TeRed+count,27,34,256447,256413,20,1717,20,2051,20
bin.118,TeRed+RATE*,27,34,256447,256413,20,1711,20,3245,20
bin.119@500000,identity+rate,10,15,18635,18625,20,1083,20,1083,20
bin.119@500000,TeRed+count,10,15,17252,17237,20,1053,20,1261,20
bin.119@500000,TeRed+RATE*,10,15,17252,17237,20,869,20,1261,20
bin.120,identity+rate,21,26,295765,295744,20,2853,20,2841,20
bin.120,TeRed+count,21,26,285794,285768,20,1148,20,1452,20
bin.120,TeRed+RATE*,21,26,285794,285768,20,1576,20,3215,20
bin.6@400000,identity+rate,6,9,24507,24501,20,1082,20,899,20
bin.6@400000,TeRed+count,6,9,22350,22341,20,789,20,821,20
bin.6@400000,TeRed+RATE*,6,9,22350,22341,20,771,20,805,20
bin.7@400000,identity+rate,8,11,17797,17789,17,1033,20,886,20
bin.7@400000,TeRed+count,8,11,16295,16284,20,485,20,750,20
bin.7@400000,TeRed+RATE*,8,11,16295,16284,20,486,20,671,20
