detector,operator,config,encoding,file,train_scheme,n_train_gt_removed,n_nodes_Gp,n_gt,node_ROC_AUC,node_PR_AUC,node_best_F1,op_threshold,n_alerts,alert_TP,alert_P,node_cov,F1_alert,n_alerted_nodes,covered_gt,node_prec,F1_alert@5,F1_alert@10,F1_alert@20
cosine,identity,identity+rate,rate,bin.116,all,30,287061,34,0.8336,0.0152,0.1395,0.0032,20,4,0.2,0.3235,0.2472,3616,11,0.003,0.1695,0.119,0.2472
cosine,identity,identity+rate,rate,bin.116,clean,30,287061,34,0.8336,0.0152,0.1395,0.0032,20,4,0.2,0.3235,0.2472,3616,11,0.003,0.1695,0.119,0.2472
cosine,identity,identity+rate,rate,bin.117,all,30,267500,30,0.9005,0.0244,0.1579,0.0032,20,10,0.5,0.5333,0.5161,3616,16,0.0044,0.2,0.3636,0.5161
cosine,identity,identity+rate,rate,bin.117,clean,30,267500,30,0.9005,0.0244,0.1579,0.0032,20,10,0.5,0.5333,0.5161,3616,16,0.0044,0.2,0.3636,0.5161
cosine,identity,identity+rate,rate,bin.118,all,30,265865,27,0.9003,0.0264,0.1351,0.0032,20,10,0.5,0.7407,0.597,3632,20,0.0055,0.3146,0.5963,0.597
cosine,identity,identity+rate,rate,bin.118,clean,30,265865,27,0.9003,0.0264,0.1351,0.0032,20,10,0.5,0.7407,0.597,3632,20,0.0055,0.3146,0.5963,0.597
cosine,identity,identity+rate,rate,bin.119@500000,all,30,18635,10,0.9192,0.0703,0.2857,0.0032,20,3,0.15,1.0,0.2609,1466,10,0.0068,0.75,0.4615,0.2609
cosine,identity,identity+rate,rate,bin.119@500000,clean,30,18635,10,0.9192,0.0703,0.2857,0.0032,20,3,0.15,1.0,0.2609,1468,10,0.0068,0.75,0.4615,0.2609
cosine,identity,identity+rate,rate,bin.120,all,30,295765,21,0.9133,0.0209,0.137,0.0032,20,4,0.2,0.5238,0.2895,3417,11,0.0032,0.2174,0.2353,0.2895
cosine,identity,identity+rate,rate,bin.120,clean,30,295765,21,0.9133,0.0209,0.137,0.0032,20,4,0.2,0.5238,0.2895,3417,11,0.0032,0.2174,0.2353,0.2895
cosine,identity,identity+rate,rate,bin.6@400000,all,30,24507,6,0.8713,0.001,0.004,0.0032,20,4,0.2,1.0,0.3333,1432,6,0.0042,0.8889,0.5714,0.3333
cosine,identity,identity+rate,rate,bin.6@400000,clean,30,24507,6,0.8713,0.001,0.004,0.0032,20,4,0.2,1.0,0.3333,1432,6,0.0042,0.8889,0.5714,0.3333
cosine,identity,identity+rate,rate,bin.7@400000,all,30,17797,8,0.7371,0.0014,0.006,0.0032,17,3,0.1765,0.75,0.2857,1033,6,0.0058,0.6667,0.4286,
cosine,identity,identity+rate,rate,bin.7@400000,clean,30,17797,8,0.7371,0.0014,0.006,0.0032,17,3,0.1765,0.75,0.2857,1033,6,0.0058,0.6667,0.4286,
cosine,tered,TeRed+count,dual_naive,bin.116,all,8,275848,46,0.8211,0.0213,0.1739,0.0032,20,8,0.4,0.4348,0.4167,2372,20,0.0084,0.4409,0.4737,0.4167
cosine,tered,TeRed+count,dual_naive,bin.116,clean,8,275848,46,0.8211,0.0213,0.1739,0.0032,20,8,0.4,0.4348,0.4167,2372,20,0.0084,0.4409,0.4737,0.4167
cosine,tered,TeRed+count,dual_naive,bin.117,all,8,257690,35,0.8965,0.0352,0.2078,0.0032,20,8,0.4,0.7143,0.5128,2593,25,0.0096,0.3852,0.557,0.5128
cosine,tered,TeRed+count,dual_naive,bin.117,clean,8,257690,35,0.8965,0.0352,0.2078,0.0032,20,8,0.4,0.7143,0.5128,2593,25,0.0096,0.3852,0.557,0.5128
