dataset,config,encoding,file,n_orig_gt,n_gt_kept,n_gt_absorbed,n_gt_reduced,n_regions,n_removed,n_nodes_orig,n_nodes_Gp,n_boundary_gt,worst_deg_delta,n_alerts,alert_TP_orig,alert_P_orig,orig_covered,orig_recall,F1_orig,alert_P_red,node_cov_red,F1_red,n_alerted_red,n_alerted_orig,orig_load_prec
e5_cadets,TeRed+RATE*,rate_ratio,bin.116,34,20,14,46,5000,21213,287061,275848,0,0.0,20,2,0.1,7,0.2059,0.1346,0.1,0.2609,0.1446,1058,2084,0.00336
e5_cadets,identity+rate_ratio,rate_ratio,bin.116,34,20,14,34,0,0,287061,287061,0,0.0,20,4,0.2,9,0.2647,0.2278,0.2,0.2647,0.2278,2103,2103,0.00428
e5_cadets,TeRed+RATE*,rate_ratio,bin.117,30,19,11,35,4654,19118,267500,257690,0,0.0,20,5,0.25,15,0.5,0.3333,0.25,0.5143,0.3364,1641,2689,0.00558
e5_cadets,identity+rate_ratio,rate_ratio,bin.117,30,19,11,30,0,0,267500,267500,0,0.0,20,4,0.2,8,0.2667,0.2286,0.2,0.2333,0.2154,2486,2486,0.00322
e5_cadets,TeRed+RATE*,rate_ratio,bin.118,27,18,9,34,4559,18536,265865,256447,0,0.0,20,2,0.1,9,0.3333,0.1538,0.1,0.4412,0.163,1520,2557,0.00352
e5_cadets,identity+rate_ratio,rate_ratio,bin.118,27,18,9,27,0,0,265865,265865,0,0.0,20,5,0.25,15,0.5556,0.3448,0.25,0.5185,0.3373,2377,2377,0.00631
e5_cadets,TeRed+RATE*,rate_ratio,bin.119@500000,10,5,5,15,870,3123,18635,17252,0,0.0,20,2,0.1,8,0.8,0.1778,0.1,0.8667,0.1793,977,1551,0.00516
e5_cadets,identity+rate_ratio,rate_ratio,bin.119@500000,10,5,5,10,0,0,18635,18635,0,0.0,20,1,0.05,8,0.8,0.0941,0.05,0.8,0.0941,1070,1070,0.00748
e5_cadets,TeRed+RATE*,rate_ratio,bin.120,21,14,7,26,4658,19287,295765,285794,0,0.0,20,5,0.25,9,0.4286,0.3158,0.25,0.4615,0.3243,1954,3290,0.00274
e5_cadets,identity+rate_ratio,rate_ratio,bin.120,21,14,7,21,0,0,295765,295765,0,0.0,20,1,0.05,5,0.2381,0.0826,0.05,0.2381,0.0826,2468,2468,0.00203
e5_cadets,TeRed+RATE*,rate_ratio,bin.6@400000,6,3,3,9,1458,5073,24507,22350,0,0.0,20,2,0.1,4,0.6667,0.1739,0.1,0.7778,0.1772,598,953,0.0042
e5_cadets,identity+rate_ratio,rate_ratio,bin.6@400000,6,3,3,6,0,0,24507,24507,0,0.0,20,3,0.15,4,0.6667,0.2449,0.15,0.6667,0.2449,687,687,0.00582
e5_cadets,TeRed+RATE*,rate_ratio,bin.7@400000,8,3,5,11,1019,3540,17797,16295,0,0.0,20,3,0.15,6,0.75,0.25,0.15,0.7273,0.2487,585,955,0.00628
e5_cadets,identity+rate_ratio,rate_ratio,bin.7@400000,8,3,5,8,0,0,17797,17797,0,0.0,20,3,0.15,6,0.75,0.25,0.15,0.625,0.2419,1099,1099,0.00546
