dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,identity,none,bin.116,atfull,287061,287061,9333694,12,100,20,raw,44.4,34,20,0,0.0,0.0,0.0,0.0,0,0.0034,0.5974,0.0,0.0,0.0,0.0,0.0,0.0
e5_cadets,identity,rate_single,bin.116,atfull,287061,287061,9333694,20,100,20,raw,48.9,34,20,5,0.25,0.3235,0.2821,0.3179,16,0.1395,0.8046,0.2105,0.1905,0.1739,0.1481,0.1081,0.2821
e5_cadets,identity,dual_naive,bin.116,atfull,287061,287061,9333694,28,100,20,raw,46.7,34,20,5,0.25,0.3235,0.2821,0.3179,16,0.1412,0.8078,0.2564,0.2273,0.2041,0.1695,0.2812,0.2821
e5_cadets,identity,rate,bin.116,atfull,287061,287061,9333694,28,100,20,raw,48.9,34,20,5,0.25,0.3235,0.2821,0.3179,16,0.1412,0.8078,0.2564,0.2273,0.2041,0.1695,0.2812,0.2821
e5_cadets,identity,none,bin.117,atfull,267500,267500,9393683,12,100,20,raw,43.8,30,20,1,0.05,0.0333,0.04,0.0417,18,0.0046,0.7003,0.0,0.0,0.0,0.0,0.0,0.04
e5_cadets,identity,rate_single,bin.117,atfull,267500,267500,9393683,20,100,20,raw,45.4,30,20,9,0.45,0.5333,0.4881,0.5161,18,0.1579,0.8901,0.1818,0.2353,0.2222,0.2,0.3636,0.4881
e5_cadets,identity,dual_naive,bin.117,atfull,267500,267500,9393683,28,100,20,raw,44.8,30,20,8,0.4,0.5,0.4444,0.5,16,0.1579,0.9012,0.1818,0.2353,0.2222,0.3,0.3636,0.4444
e5_cadets,identity,rate,bin.117,atfull,267500,267500,9393683,28,100,20,raw,44.9,30,20,8,0.4,0.5,0.4444,0.5,16,0.1579,0.9012,0.1818,0.2353,0.2222,0.3,0.3636,0.4444
e5_cadets,identity,none,bin.118,atfull,265865,265865,9399067,12,100,20,raw,44.9,27,20,1,0.05,0.037,0.0426,0.05,13,0.006,0.6912,0.0,0.0,0.0,0.0,0.0,0.0426
e5_cadets,identity,rate_single,bin.118,atfull,265865,265865,9399067,20,100,20,raw,46.4,27,20,9,0.45,0.7407,0.5599,0.6307,14,0.1351,0.8941,0.3636,0.3077,0.2667,0.2105,0.449,0.5599
e5_cadets,identity,dual_naive,bin.118,atfull,265865,265865,9399067,28,100,20,raw,46.3,27,20,9,0.45,0.7407,0.5599,0.6847,12,0.1351,0.9024,0.3636,0.3077,0.3733,0.3146,0.5963,0.5599
e5_cadets,identity,rate,bin.118,atfull,265865,265865,9399067,28,100,20,raw,46.3,27,20,9,0.45,0.7407,0.5599,0.6847,12,0.1351,0.9024,0.3636,0.3077,0.3733,0.3146,0.5963,0.5599
e5_cadets,identity,none,bin.119@500000,at500000,18635,18635,476913,12,100,20,raw,6.0,10,0,0,0.0,0.0,0.0,0.0,0,0.0159,0.6646,,,,,,
e5_cadets,identity,rate_single,bin.119@500000,at500000,18635,18635,476913,20,100,20,raw,6.8,10,17,1,0.0588,0.8,0.1096,0.8889,1,0.2857,0.8872,0.8889,0.6154,0.4706,0.32,0.1778,
e5_cadets,identity,dual_naive,bin.119@500000,at500000,18635,18635,476913,28,100,20,raw,6.8,10,10,1,0.1,0.8,0.1778,0.8889,1,0.2857,0.9023,0.8889,0.6154,0.4706,0.32,0.1778,
e5_cadets,identity,rate,bin.119@500000,at500000,18635,18635,476913,28,100,20,raw,7.1,10,10,1,0.1,0.8,0.1778,0.8889,1,0.2857,0.9023,0.8889,0.6154,0.4706,0.32,0.1778,
e5_cadets,identity,none,bin.120,atfull,295765,295765,9324081,12,100,20,raw,43.1,21,20,0,0.0,0.0,0.0,0.0,0,0.0036,0.6611,0.0,0.0,0.0,0.0,0.0,0.0
e5_cadets,identity,rate_single,bin.120,atfull,295765,295765,9324081,20,100,20,raw,47.5,21,20,3,0.15,0.5238,0.2332,0.3846,1,0.1351,0.9091,0.3846,0.3226,0.2778,0.2174,0.2623,0.2332
e5_cadets,identity,dual_naive,bin.120,atfull,295765,295765,9324081,28,100,20,raw,47.5,21,20,4,0.2,0.4762,0.2817,0.3846,1,0.1389,0.9124,0.3846,0.3226,0.2778,0.2174,0.2353,0.2817
e5_cadets,identity,rate,bin.120,atfull,295765,295765,9324081,28,100,20,raw,47.6,21,20,4,0.2,0.4762,0.2817,0.3846,1,0.1389,0.9124,0.3846,0.3226,0.2778,0.2174,0.2353,0.2817
e5_cadets,identity,none,bin.6@400000,at400000,24507,24507,370937,12,100,20,raw,5.9,6,2,0,0.0,0.0,0.0,0.0,0,0.0009,0.5342,0.0,0.0,,,,
e5_cadets,identity,rate_single,bin.6@400000,at400000,24507,24507,370937,20,100,20,raw,6.7,6,20,2,0.1,0.6667,0.1739,0.6667,1,0.0037,0.7783,0.6667,0.5,0.4,0.5,0.3077,0.1739
e5_cadets,identity,dual_naive,bin.6@400000,at400000,24507,24507,370937,28,100,20,raw,6.7,6,20,3,0.15,0.6667,0.2449,0.7059,4,0.004,0.79,0.5,0.6667,0.5714,0.6316,0.4138,0.2449
e5_cadets,identity,rate,bin.6@400000,at400000,24507,24507,370937,28,100,20,raw,6.9,6,20,3,0.15,0.6667,0.2449,0.7059,4,0.004,0.79,0.5,0.6667,0.5714,0.6316,0.4138,0.2449
e5_cadets,identity,none,bin.7@400000,at400000,17797,17797,374995,12,100,20,raw,5.8,8,0,0,0.0,0.0,0.0,0.0,0,0.0013,0.3874,,,,,,
e5_cadets,identity,rate_single,bin.7@400000,at400000,17797,17797,374995,20,100,20,raw,6.6,8,17,3,0.1765,0.75,0.2857,0.6452,3,0.0057,0.723,0.4,0.3333,0.6452,0.4878,0.4286,
e5_cadets,identity,dual_naive,bin.7@400000,at400000,17797,17797,374995,28,100,20,raw,6.6,8,18,3,0.1667,0.75,0.2727,0.6667,5,0.0059,0.7282,0.4,0.3333,0.6452,0.6667,0.4286,
e5_cadets,identity,rate,bin.7@400000,at400000,17797,17797,374995,28,100,20,raw,6.8,8,18,3,0.1667,0.75,0.2727,0.6667,5,0.0059,0.7282,0.4,0.3333,0.6452,0.6667,0.4286,
e5_cadets,tered,none,bin.116,atfull,287061,275848,7440800,13,100,20,raw,37.5,46,1,0,0.0,0.0,0.0,0.0,0,0.0034,0.558,0.0,,,,,
e5_cadets,tered,rate_single,bin.116,atfull,287061,275848,7440800,21,100,20,raw,37.7,46,20,4,0.2,0.3261,0.2479,0.4038,5,0.08,0.8007,0.3571,0.303,0.2632,0.4038,0.3022,0.2479
e5_cadets,tered,dual_naive,bin.116,atfull,287061,275848,7440800,29,100,20,raw,37.5,46,20,5,0.25,0.3913,0.3051,0.4813,8,0.1739,0.8062,0.2963,0.2581,0.375,0.4038,0.439,0.3051
e5_cadets,tered,rate,bin.116,atfull,287061,275848,7440800,29,100,20,raw,38.7,46,20,5,0.25,0.413,0.3115,0.439,8,0.1739,0.8099,0.3571,0.303,0.2632,0.3457,0.3956,0.3115
e5_cadets,tered,none,bin.117,atfull,267500,257690,8992677,13,100,20,raw,43.6,35,1,0,0.0,0.0,0.0,0.0,0,0.0051,0.6433,0.0,,,,,
e5_cadets,tered,rate_single,bin.117,atfull,267500,257690,8992677,21,100,20,raw,45.8,35,20,5,0.25,0.5714,0.3478,0.6538,3,0.0947,0.8808,0.4444,0.5417,0.6538,0.5368,0.4606,0.3478
e5_cadets,tered,dual_naive,bin.117,atfull,267500,257690,8992677,29,100,20,raw,44.6,35,20,8,0.4,0.6857,0.5053,0.7037,4,0.2133,0.8968,0.4444,0.5417,0.6538,0.6468,0.6779,0.5053
e5_cadets,tered,rate,bin.117,atfull,267500,257690,8992677,29,100,20,raw,47.5,35,20,9,0.45,0.7143,0.5521,0.6792,4,0.2133,0.8976,0.3721,0.5417,0.6538,0.6261,0.6,0.5521
e5_cadets,tered,none,bin.118,atfull,265865,256447,8021309,13,100,20,raw,36.8,34,1,1,1.0,0.0294,0.0571,0.0571,1,0.006,0.6745,0.0571,,,,,
