dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_edges_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_total,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,tered,none,bin.119@500000,at500000,18635,476913,16913,256267,13,100,1000,20,raw,4.7,14,0,0,0.0,0.0,0.0,0.0,0,0.0116,0.6908,,,,,,
e5_cadets,tered,dual_naive,bin.119@500000,at500000,18635,476913,16913,256267,29,100,1000,20,raw,5.2,14,17,2,0.1176,0.8571,0.2069,0.9231,2,0.125,0.9084,0.88,0.9231,0.75,0.5455,0.3243,
e5_cadets,tered,rate,bin.119@500000,at500000,18635,476913,16913,256267,29,100,1000,20,raw,5.2,14,14,2,0.1429,0.8571,0.2449,0.9231,2,0.125,0.9173,0.7826,0.9231,0.75,0.5455,0.3243,
e5_cadets,tered,none,bin.6@400000,at400000,24507,370937,22767,303872,13,100,1000,20,raw,5.1,10,3,0,0.0,0.0,0.0,0.0,0,0.0018,0.6009,0.0,0.0,0.0,,,
e5_cadets,tered,dual_naive,bin.6@400000,at400000,24507,370937,22767,303872,29,100,1000,20,raw,5.2,10,20,2,0.1,0.8,0.1778,0.8889,2,0.0051,0.8265,0.75,0.8889,0.7273,0.5333,0.32,0.1778
e5_cadets,tered,rate,bin.6@400000,at400000,24507,370937,22767,303872,29,100,1000,20,raw,5.3,10,20,2,0.1,0.8,0.1778,0.8889,2,0.0057,0.8324,0.75,0.8889,0.7273,0.5333,0.32,0.1778
e5_cadets,tered,none,bin.7@400000,at400000,17797,374995,16311,324931,13,100,1000,20,raw,4.8,12,0,0,0.0,0.0,0.0,0.0,0,0.0116,0.5235,,,,,,
e5_cadets,tered,dual_naive,bin.7@400000,at400000,17797,374995,16311,324931,29,100,1000,20,raw,5.4,12,20,3,0.15,0.9167,0.2578,0.9565,3,0.1176,0.87,0.6667,0.8571,0.9565,0.7253,0.4521,0.2578
e5_cadets,tered,rate,bin.7@400000,at400000,17797,374995,16311,324931,29,100,1000,20,raw,5.5,12,20,3,0.15,0.9167,0.2578,0.9565,3,0.1176,0.8773,0.6667,0.8571,0.9565,0.7253,0.4521,0.2578
e5_cadets,tered,none,bin.119@500000,at500000,18635,476913,16850,255639,13,100,16000,20,raw,4.5,14,0,0,0.0,0.0,0.0,0.0,0,0.0134,0.6936,,,,,,
e5_cadets,tered,dual_naive,bin.119@500000,at500000,18635,476913,16850,255639,29,100,16000,20,raw,4.9,14,20,2,0.1,0.8571,0.1791,0.9231,2,0.125,0.9087,0.6667,0.9231,0.75,0.5455,0.3243,0.1791
e5_cadets,tered,rate,bin.119@500000,at500000,18635,476913,16850,255639,29,100,16000,20,raw,5.1,14,20,3,0.15,0.8571,0.2553,0.8333,2,0.125,0.9176,0.6667,0.8333,0.6897,0.7059,0.4444,0.2553
e5_cadets,tered,none,bin.6@400000,at400000,24507,370937,22253,286168,13,100,16000,20,raw,5.4,10,3,0,0.0,0.0,0.0,0.0,0,0.0019,0.6226,0.0,0.0,0.0,,,
e5_cadets,tered,dual_naive,bin.6@400000,at400000,24507,370937,22253,286168,29,100,16000,20,raw,5.4,10,20,2,0.1,0.8,0.1778,0.8889,2,0.0051,0.8321,0.75,0.8889,0.7273,0.5333,0.32,0.1778
e5_cadets,tered,rate,bin.6@400000,at400000,24507,370937,22253,286168,29,100,16000,20,raw,5.5,10,20,2,0.1,0.8,0.1778,0.8889,2,0.0056,0.8368,0.75,0.8889,0.7273,0.5333,0.32,0.1778
e5_cadets,tered,none,bin.7@400000,at400000,17797,374995,16273,324674,13,100,16000,20,raw,4.8,12,0,0,0.0,0.0,0.0,0.0,0,0.0119,0.5245,,,,,,
e5_cadets,tered,dual_naive,bin.7@400000,at400000,17797,374995,16273,324674,29,100,16000,20,raw,5.4,12,20,2,0.1,0.9167,0.1803,0.9565,2,0.1429,0.8706,0.8571,0.9565,0.7719,0.557,0.3284,0.1803
e5_cadets,tered,rate,bin.7@400000,at400000,17797,374995,16273,324674,29,100,16000,20,raw,5.5,12,20,3,0.15,0.9167,0.2578,0.9565,3,0.1429,0.8778,0.6667,0.8,0.9565,0.7253,0.4521,0.2578
e5_cadets,tered,none,bin.119@500000,at500000,18635,476913,17863,262713,13,100,250,20,raw,4.7,14,0,0,0.0,0.0,0.0,0.0,0,0.0102,0.6641,,,,,,
e5_cadets,tered,dual_naive,bin.119@500000,at500000,18635,476913,17863,262713,29,100,250,20,raw,5.2,14,12,3,0.25,0.8571,0.3871,0.8333,2,0.125,0.8989,0.7826,0.8333,0.6897,0.7059,0.4444,
e5_cadets,tered,rate,bin.119@500000,at500000,18635,476913,17863,262713,29,100,250,20,raw,5.2,14,12,3,0.25,0.8571,0.3871,0.8333,2,0.125,0.9095,0.7826,0.8333,0.6897,0.7059,0.4444,
e5_cadets,tered,none,bin.6@400000,at400000,24507,370937,23845,312873,13,100,250,20,raw,5.5,10,3,0,0.0,0.0,0.0,0.0,0,0.0016,0.5758,0.0,0.0,0.0,,,
e5_cadets,tered,dual_naive,bin.6@400000,at400000,24507,370937,23845,312873,29,100,250,20,raw,5.6,10,20,2,0.1,0.8,0.1778,0.8889,2,0.0063,0.8354,0.75,0.8889,0.7273,0.5333,0.32,0.1778
e5_cadets,tered,rate,bin.6@400000,at400000,24507,370937,23845,312873,29,100,250,20,raw,5.7,10,20,2,0.1,0.8,0.1778,0.8889,2,0.0071,0.842,0.75,0.8889,0.7273,0.5333,0.32,0.1778
e5_cadets,tered,none,bin.7@400000,at400000,17797,374995,17063,328700,13,100,250,20,raw,4.6,12,0,0,0.0,0.0,0.0,0.0,0,0.0123,0.5045,,,,,,
e5_cadets,tered,dual_naive,bin.7@400000,at400000,17797,374995,17063,328700,29,100,250,20,raw,5.2,12,20,3,0.15,0.9167,0.2578,0.9565,3,0.1176,0.8616,0.6667,0.8571,0.9565,0.7253,0.4521,0.2578
e5_cadets,tered,rate,bin.7@400000,at400000,17797,374995,17063,328700,29,100,250,20,raw,5.3,12,20,3,0.15,0.9167,0.2578,0.9565,3,0.1176,0.865,0.6667,0.8571,0.9565,0.7253,0.4521,0.2578
e5_cadets,tered,none,bin.119@500000,at500000,18635,476913,16850,255639,13,100,4000,20,raw,4.5,14,0,0,0.0,0.0,0.0,0.0,0,0.0134,0.6936,,,,,,
