dataset,config,operator,encoding,semantic,tape_dim,tape_base,share_k,n_templates,train_files,attack_files,gt_nodes,inv_ok,runtime_s,TP,FP,TN,FN,Precision,Recall,F1,FPR,FNR,ROC_AUC,PR_AUC,P@10,P@50,P@100,best_F1,detector,gs_hidden,gs_k,gs_epochs,gs_score,gs_norm,surv_ta1-cadets-1-e5-official-2.bin.116.gz
e5_cadets,无归约基线,identity,rate,onehot,8,10000.0,-1,173,"bin.1,bin.2,bin.3,bin.4,bin.5",bin.116,124,True,110.8,0,0,287027,34,0.0,0.0,0.0,0.0,1.0,0.4024643920565784,0.00021618065349727448,0.0,0.0,0.0,0.00243161094224924,graphsage,64,25,20,mahal,zscore,1.0
e5_cadets,TeRed+naive,tered,dual_naive,onehot,8,10000.0,-1,173,"bin.1,bin.2,bin.3,bin.4,bin.5",bin.116,124,True,197.2,0,0,275802,46,0.0,0.0,0.0,0.0,1.0,0.3270978424030093,0.00046187974702890976,0.0,0.0,0.0,0.01282051282051282,graphsage,64,25,20,mahal,zscore,0.5882352941176471
e5_cadets,TeRed+RATE,tered,rate,onehot,8,10000.0,-1,173,"bin.1,bin.2,bin.3,bin.4,bin.5",bin.116,124,True,276.0,0,0,275802,46,0.0,0.0,0.0,0.0,1.0,0.40787515177081984,0.0011733788707541434,0.0,0.04,0.02,0.042105263157894736,graphsage,64,25,20,mahal,zscore,0.5882352941176471
e5_cadets,无归约基线,identity,rate,onehot,8,10000.0,-1,173,"bin.1,bin.2,bin.3,bin.4,bin.5",bin.117,124,True,86.3,0,5,267465,30,0.0,0.0,0.0,1.869368527311474e-05,1.0,0.6996271232910856,7.920303174548877e-05,0.0,0.0,0.0,0.00036571985858832134,graphsage,64,25,20,mahal,zscore,1.0
e5_cadets,TeRed+naive,tered,dual_naive,onehot,8,10000.0,-1,173,"bin.1,bin.2,bin.3,bin.4,bin.5",bin.117,124,True,175.8,0,0,257655,35,0.0,0.0,0.0,0.0,1.0,0.4023435546425591,0.00021438559516930597,0.0,0.0,0.0,0.0012062726176115804,graphsage,64,25,20,mahal,zscore,0.6333333333333333
e5_cadets,TeRed+RATE,tered,rate,onehot,8,10000.0,-1,173,"bin.1,bin.2,bin.3,bin.4,bin.5",bin.117,124,True,259.4,0,0,257655,35,0.0,0.0,0.0,0.0,1.0,0.24330963054139396,0.0013909107451935345,0.0,0.0,0.01,0.0291970802919708,graphsage,64,25,20,mahal,zscore,0.6333333333333333
e5_cadets,无归约基线,identity,rate,onehot,8,10000.0,-1,173,"bin.1,bin.2,bin.3,bin.4,bin.5",bin.120,124,True,109.6,0,28,295716,21,0.0,0.0,0.0,9.467647695304047e-05,1.0,0.33458393230696304,0.00019899201178356224,0.0,0.0,0.0,0.0009552923194497515,graphsage,64,25,20,mahal,zscore,1.0
e5_cadets,TeRed+naive,tered,dual_naive,onehot,8,10000.0,-1,173,"bin.1,bin.2,bin.3,bin.4,bin.5",bin.120,124,True,195.4,0,0,285768,26,0.0,0.0,0.0,0.0,1.0,0.2650971040521305,0.00019133607536236062,0.0,0.0,0.0,0.0008511543781253326,graphsage,64,25,20,mahal,zscore,0.6666666666666666
e5_cadets,TeRed+RATE,tered,rate,onehot,8,10000.0,-1,173,"bin.1,bin.2,bin.3,bin.4,bin.5",bin.120,124,True,276.8,0,0,285768,26,0.0,0.0,0.0,0.0,1.0,0.26069345116964165,0.0019848918304180923,0.0,0.0,0.0,0.02290076335877863,graphsage,64,25,20,mahal,zscore,0.6666666666666666
e5_cadets,无归约基线,identity,rate,onehot,8,10000.0,-1,173,"bin.1,bin.2,bin.3,bin.4,bin.5",bin.118,124,True,99.5,0,34,265804,27,0.0,0.0,0.0,0.00012789744129883612,1.0,0.39595571014705977,0.00018702826716316315,0.0,0.0,0.0,0.0007981907675934548,graphsage,64,25,20,mahal,zscore,1.0
e5_cadets,TeRed+naive,tered,dual_naive,onehot,8,10000.0,-1,173,"bin.1,bin.2,bin.3,bin.4,bin.5",bin.118,124,True,175.6,0,0,256413,34,0.0,0.0,0.0,0.0,1.0,0.27349145599436203,0.002783323377101662,0.0,0.02,0.03,0.046153846153846156,graphsage,64,25,20,mahal,zscore,0.6666666666666666
e5_cadets,TeRed+RATE,tered,rate,onehot,8,10000.0,-1,173,"bin.1,bin.2,bin.3,bin.4,bin.5",bin.118,124,True,250.3,0,0,256413,34,0.0,0.0,0.0,0.0,1.0,0.4938144367737618,0.0023504227603739474,0.0,0.04,0.02,0.05263157894736842,graphsage,64,25,20,mahal,zscore,0.6666666666666666
