n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,runtime_s
46,20,5,0.25,0.3913,0.3051,0.5056,7,1,1,2743,18,0.0066,0.1304,0.06,0.1818,0.3571,0.303,0.375,0.4404,0.439,0.3051,A1,base,TeRed+RATE*,rate_ratio,bin.116,atfull,100,20,raw,275848,7440800,15.6
46,20,2,0.1,0.2609,0.1446,0.4138,2,1,1,1058,12,0.0113,0.1304,0.06,0.1818,0.3571,0.4138,0.375,0.3158,0.2264,0.1446,A1,legacy_agg,TeRed+RATE*,rate_ratio,bin.116,atfull,100,20,raw,275848,7440800,11.1
46,20,5,0.25,0.3913,0.3051,0.5056,7,1,1,2743,18,0.0066,0.1304,0.06,0.1818,0.3571,0.303,0.375,0.4404,0.439,0.3051,A1,legacy_cmax,TeRed+RATE*,rate_ratio,bin.116,atfull,100,20,raw,275848,7440800,11.1
46,20,5,0.25,0.3913,0.3051,0.5056,7,1,1,2743,18,0.0066,0.1304,0.06,0.1818,0.3571,0.303,0.375,0.4404,0.439,0.3051,A1,legacy_w1,TeRed+RATE*,rate_ratio,bin.116,atfull,100,20,raw,275848,7440800,11.1
46,20,6,0.3,0.1304,0.1818,0.1818,20,12,0,20,6,0.3,0.1304,0.06,0.1818,0.0,0.0,0.0,0.0,0.0,0.1818,A1,no_bfs,TeRed+RATE*,rate_ratio,bin.116,atfull,100,20,raw,275848,7440800,0.1
46,20,5,0.25,0.3913,0.3051,0.5056,7,1,1,2743,18,0.0066,0.1304,0.06,0.1818,0.3571,0.303,0.375,0.4404,0.439,0.3051,A1,no_rank,TeRed+RATE*,rate_ratio,bin.116,atfull,100,20,raw,275848,7440800,11.1
46,20,8,0.4,0.4783,0.4356,0.5101,9,1,1,3152,22,0.007,0.1304,0.06,0.1818,0.2963,0.2581,0.3279,0.3842,0.4893,0.4356,A1,bfs_q50,TeRed+RATE*,rate_ratio,bin.116,atfull,100,20,raw,275848,7440800,11.1
46,9,0,0.0,0.0,0.0,0.0,0,0,0,72,0,0.0,0.1304,0.06,0.1818,0.0,0.0,0.0,0.0,,,A1,bfs_q90,TeRed+RATE*,rate_ratio,bin.116,atfull,100,20,raw,275848,7440800,10.0
46,20,5,0.25,0.3913,0.3051,0.5056,7,1,1,2743,18,0.0066,0.1304,0.06,0.1818,0.3571,0.303,0.375,0.4404,0.439,0.3051,A1,w050,TeRed+RATE*,rate_ratio,bin.116,atfull,100,20,raw,275848,7440800,11.3
46,20,5,0.25,0.3913,0.3051,0.5056,7,1,1,2743,18,0.0066,0.1304,0.06,0.1818,0.3571,0.303,0.375,0.4404,0.439,0.3051,A1,w000,TeRed+RATE*,rate_ratio,bin.116,atfull,100,20,raw,275848,7440800,11.1
