dataset,config,encoding,file,n_orig_gt,n_gt_kept,n_gt_absorbed,n_gt_reduced,n_regions,n_removed,n_nodes_orig,n_nodes_Gp,n_boundary_gt,worst_deg_delta,n_alerts,alert_TP_orig,alert_P_orig,orig_covered,orig_recall,F1_orig,alert_P_red,node_cov_red,F1_red,n_alerted_red,n_alerted_orig,orig_load_prec
e5_cadets,identity+rate,rate,bin.116,34,20,14,34,0,0,287061,287061,0,0.0,20,3,0.15,7,0.2059,0.1736,0.15,0.2059,0.1736,2659,2659,0.00263
e5_cadets,TeRed+naive,dual_naive,bin.116,34,20,14,46,5000,21213,287061,275848,0,0.0,20,2,0.1,7,0.2059,0.1346,0.1,0.2609,0.1446,734,1325,0.00528
e5_cadets,TeRed+RATE,rate,bin.116,34,20,14,46,5000,21213,287061,275848,0,0.0,20,2,0.1,9,0.2647,0.1452,0.1,0.3043,0.1505,1232,2408,0.00374
e5_cadets,TeRed+RATE*,rate_ratio,bin.116,34,20,14,46,5000,21213,287061,275848,0,0.0,20,2,0.1,7,0.2059,0.1346,0.1,0.2609,0.1446,1058,2084,0.00336
e5_cadets,identity+rate,rate,bin.117,30,19,11,30,0,0,267500,267500,0,0.0,20,5,0.25,10,0.3333,0.2857,0.25,0.3,0.2727,2927,2927,0.00342
e5_cadets,TeRed+naive,dual_naive,bin.117,30,19,11,35,4654,19118,267500,257690,0,0.0,20,4,0.2,14,0.4667,0.28,0.2,0.4857,0.2833,1176,2067,0.00677
e5_cadets,TeRed+RATE,rate,bin.117,30,19,11,35,4654,19118,267500,257690,0,0.0,20,5,0.25,15,0.5,0.3333,0.25,0.5429,0.3423,1599,2735,0.00548
e5_cadets,TeRed+RATE*,rate_ratio,bin.117,30,19,11,35,4654,19118,267500,257690,0,0.0,20,5,0.25,15,0.5,0.3333,0.25,0.5143,0.3364,1641,2689,0.00558
e5_cadets,identity+rate,rate,bin.118,27,18,9,27,0,0,265865,265865,0,0.0,20,8,0.4,18,0.6667,0.5,0.4,0.5185,0.4516,2855,2855,0.0063
e5_cadets,TeRed+naive,dual_naive,bin.118,27,18,9,34,4559,18536,265865,256447,0,0.0,20,2,0.1,12,0.4444,0.1633,0.1,0.5294,0.1682,1526,2727,0.0044
e5_cadets,TeRed+RATE,rate,bin.118,27,18,9,34,4559,18536,265865,256447,0,0.0,20,2,0.1,9,0.3333,0.1538,0.1,0.4412,0.163,1543,2613,0.00344
e5_cadets,TeRed+RATE*,rate_ratio,bin.118,27,18,9,34,4559,18536,265865,256447,0,0.0,20,2,0.1,9,0.3333,0.1538,0.1,0.4412,0.163,1520,2557,0.00352
e5_cadets,identity+rate,rate,bin.119@500000,10,5,5,10,0,0,18635,18635,0,0.0,10,1,0.1,8,0.8,0.1778,0.1,0.8,0.1778,1222,1222,0.00655
e5_cadets,TeRed+naive,dual_naive,bin.119@500000,10,5,5,15,870,3123,18635,17252,0,0.0,20,1,0.05,8,0.8,0.0941,0.05,0.8667,0.0945,1058,1567,0.00511
e5_cadets,TeRed+RATE,rate,bin.119@500000,10,5,5,15,870,3123,18635,17252,0,0.0,20,2,0.1,8,0.8,0.1778,0.1,0.8667,0.1793,764,1247,0.00642
e5_cadets,TeRed+RATE*,rate_ratio,bin.119@500000,10,5,5,15,870,3123,18635,17252,0,0.0,20,2,0.1,8,0.8,0.1778,0.1,0.8667,0.1793,977,1551,0.00516
e5_cadets,identity+rate,rate,bin.120,21,14,7,21,0,0,295765,295765,0,0.0,20,2,0.1,7,0.3333,0.1538,0.1,0.3333,0.1538,2851,2851,0.00246
e5_cadets,TeRed+naive,dual_naive,bin.120,21,14,7,26,4658,19287,295765,285794,0,0.0,20,3,0.15,7,0.3333,0.2069,0.15,0.3846,0.2158,1166,1985,0.00353
e5_cadets,TeRed+RATE,rate,bin.120,21,14,7,26,4658,19287,295765,285794,0,0.0,20,2,0.1,6,0.2857,0.1481,0.1,0.3462,0.1552,1594,2680,0.00224
e5_cadets,TeRed+RATE*,rate_ratio,bin.120,21,14,7,26,4658,19287,295765,285794,0,0.0,20,5,0.25,9,0.4286,0.3158,0.25,0.4615,0.3243,1954,3290,0.00274
e5_cadets,identity+rate,rate,bin.6@400000,6,3,3,6,0,0,24507,24507,0,0.0,20,3,0.15,4,0.6667,0.2449,0.15,0.5,0.2308,885,885,0.00452
e5_cadets,TeRed+naive,dual_naive,bin.6@400000,6,3,3,9,1458,5073,24507,22350,0,0.0,20,2,0.1,4,0.6667,0.1739,0.1,0.7778,0.1772,472,775,0.00516
e5_cadets,TeRed+RATE,rate,bin.6@400000,6,3,3,9,1458,5073,24507,22350,0,0.0,20,2,0.1,4,0.6667,0.1739,0.1,0.7778,0.1772,616,967,0.00414
e5_cadets,TeRed+RATE*,rate_ratio,bin.6@400000,6,3,3,9,1458,5073,24507,22350,0,0.0,20,2,0.1,4,0.6667,0.1739,0.1,0.7778,0.1772,598,953,0.0042
e5_cadets,identity+rate,rate,bin.7@400000,8,3,5,8,0,0,17797,17797,0,0.0,18,3,0.1667,6,0.75,0.2727,0.1667,0.75,0.2727,1045,1045,0.00574
e5_cadets,TeRed+naive,dual_naive,bin.7@400000,8,3,5,11,1019,3540,17797,16295,0,0.0,20,3,0.15,6,0.75,0.25,0.15,0.7273,0.2487,758,1179,0.00509
e5_cadets,TeRed+RATE,rate,bin.7@400000,8,3,5,11,1019,3540,17797,16295,0,0.0,20,3,0.15,6,0.75,0.25,0.15,0.7273,0.2487,783,1231,0.00487
e5_cadets,TeRed+RATE*,rate_ratio,bin.7@400000,8,3,5,11,1019,3540,17797,16295,0,0.0,20,3,0.15,6,0.75,0.25,0.15,0.7273,0.2487,585,955,0.00628
