dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_edges_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_total,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,identity,semantic_only,bin.118,atfull,265865,9399067,265865,9399067,8,100,5000,20,raw,19.8,27,0,0,0.0,0.0,0.0,0.0,0,0.0003,0.4785,,,,,,
e5_cadets,identity,none,bin.118,atfull,265865,9399067,265865,9399067,12,100,5000,20,raw,40.0,27,20,1,0.05,0.037,0.0426,0.05,13,0.006,0.6912,0.0,0.0,0.0,0.0,0.0,0.0426
e5_cadets,identity,rate_single,bin.118,atfull,265865,9399067,265865,9399067,20,100,5000,20,raw,46.4,27,20,9,0.45,0.7407,0.5599,0.6307,14,0.1351,0.8941,0.3636,0.3077,0.2667,0.2105,0.449,0.5599
e5_cadets,identity,dual_naive,bin.118,atfull,265865,9399067,265865,9399067,28,100,5000,20,raw,45.9,27,20,9,0.45,0.7407,0.5599,0.6847,12,0.1351,0.9024,0.3636,0.3077,0.3733,0.3146,0.5963,0.5599
e5_cadets,identity,rate,bin.118,atfull,265865,9399067,265865,9399067,28,100,5000,20,raw,47.5,27,20,9,0.45,0.7407,0.5599,0.6847,12,0.1351,0.9024,0.3636,0.3077,0.3733,0.3146,0.5963,0.5599
e5_cadets,tered,semantic_only,bin.118,atfull,265865,9399067,256554,7453735,9,100,5000,20,raw,17.6,31,20,1,0.05,0.0323,0.0392,0.0465,12,0.0006,0.4792,0.0,0.0,0.0,0.0,0.0,0.0392
e5_cadets,tered,none,bin.118,atfull,265865,9399067,256554,7453735,13,100,5000,20,raw,31.7,31,4,0,0.0,0.0,0.0,0.0,0,0.0054,0.6112,0.0,0.0,0.0,,,
e5_cadets,tered,rate_single,bin.118,atfull,265865,9399067,256554,7453735,21,100,5000,20,raw,36.9,31,20,7,0.35,0.7419,0.4756,0.5581,1,0.098,0.8784,0.5581,0.4364,0.3582,0.2637,0.3956,0.4756
e5_cadets,tered,dual_naive,bin.118,atfull,265865,9399067,256554,7453735,29,100,5000,20,raw,36.1,31,20,9,0.45,0.8065,0.5777,0.6875,9,0.1754,0.8858,0.4878,0.3922,0.3279,0.3934,0.6502,0.5777
e5_cadets,tered,rate,bin.118,atfull,265865,9399067,256554,7453735,29,100,5000,20,raw,37.3,31,20,8,0.4,0.8387,0.5417,0.6761,10,0.1754,0.895,0.4878,0.3922,0.3279,0.2469,0.6761,0.5417
