dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_edges_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_total,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,identity,semantic_only,bin.119@500000,at500000,18635,476913,18635,476913,8,100,5000,20,raw,0.9,10,20,1,0.05,0.1,0.0667,0.0833,14,0.0022,0.4365,0.0,0.0,0.0,0.0,0.0,0.0667
e5_cadets,identity,none,bin.119@500000,at500000,18635,476913,18635,476913,12,100,5000,20,raw,6.1,10,0,0,0.0,0.0,0.0,0.0,0,0.0159,0.6646,,,,,,
e5_cadets,identity,rate_single,bin.119@500000,at500000,18635,476913,18635,476913,20,100,5000,20,raw,7.4,10,17,1,0.0588,0.8,0.1096,0.8889,1,0.2857,0.8872,0.8889,0.6154,0.4706,0.32,0.1778,
e5_cadets,identity,dual_naive,bin.119@500000,at500000,18635,476913,18635,476913,28,100,5000,20,raw,7.0,10,10,1,0.1,0.8,0.1778,0.8889,1,0.2857,0.9023,0.8889,0.6154,0.4706,0.32,0.1778,
e5_cadets,identity,rate,bin.119@500000,at500000,18635,476913,18635,476913,28,100,5000,20,raw,7.1,10,10,1,0.1,0.8,0.1778,0.8889,1,0.2857,0.9023,0.8889,0.6154,0.4706,0.32,0.1778,
e5_cadets,tered,semantic_only,bin.119@500000,at500000,18635,476913,16849,255601,9,100,5000,20,raw,0.6,15,20,3,0.15,0.2,0.1714,0.1935,16,0.0108,0.7209,0.0,0.0,0.1111,0.1,0.08,0.1714
e5_cadets,tered,none,bin.119@500000,at500000,18635,476913,16849,255601,13,100,5000,20,raw,4.4,15,0,0,0.0,0.0,0.0,0.0,0,0.0074,0.6868,,,,,,
e5_cadets,tered,rate_single,bin.119@500000,at500000,18635,476913,16849,255601,21,100,5000,20,raw,5.3,15,20,1,0.05,0.9333,0.0949,0.9655,1,0.0645,0.8944,0.9655,0.6512,0.4912,0.3294,0.1806,0.0949
e5_cadets,tered,dual_naive,bin.119@500000,at500000,18635,476913,16849,255601,29,100,5000,20,raw,5.2,15,20,2,0.1,0.9333,0.1806,0.9655,2,0.1176,0.9149,0.8462,0.9655,0.7778,0.56,0.3294,0.1806
e5_cadets,tered,rate,bin.119@500000,at500000,18635,476913,16849,255601,29,100,5000,20,raw,5.2,15,20,3,0.15,0.9333,0.2585,0.8889,2,0.1176,0.9239,0.8462,0.8889,0.7273,0.7304,0.4541,0.2585
