dataset,config,operator,encoding,file,rec_tag,is_attack,n_nodes_Gp,n_edges_Gp,top_k,bfs_q,min_cluster,max_cluster,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec
e5_cadets,identity+rate,identity,rate,bin.116,atfull,True,287061,9333694,100,75,3,200,20,raw,45.9,34,20,3,0.15,0.2059,0.1736,0.2564,1,1,1,2659,7,0.0026,0.1765,0.06
e5_cadets,TeRed+naive,tered,dual_naive,bin.116,atfull,True,275843,7360340,100,75,3,200,20,raw,34.5,41,20,1,0.05,0.2195,0.0814,0.36,1,1,1,1116,9,0.0081,0.1707,0.07
e5_cadets,TeRed+RATE,tered,rate,bin.116,atfull,True,275843,7360340,100,75,3,200,20,raw,34.7,41,20,2,0.1,0.2439,0.1418,0.3265,1,1,1,1361,10,0.0073,0.1707,0.07
e5_cadets,TeRed+RATE*,tered,rate_ratio,bin.116,atfull,True,275843,7360340,100,75,3,200,20,raw,37.6,41,20,2,0.1,0.2683,0.1457,0.3265,1,1,1,1189,11,0.0093,0.1707,0.07
e5_cadets,identity+rate,identity,rate,bin.117,atfull,True,267500,9393683,100,75,3,200,20,raw,48.7,30,20,5,0.25,0.3333,0.2857,0.2927,14,1,1,2927,10,0.0034,0.2667,0.08
e5_cadets,TeRed+naive,tered,dual_naive,bin.117,atfull,True,257566,7424813,100,75,3,200,20,raw,34.9,37,20,2,0.1,0.3243,0.1529,0.4583,1,1,1,1163,12,0.0103,0.2703,0.1
e5_cadets,TeRed+RATE,tered,rate,bin.117,atfull,True,257566,7424813,100,75,3,200,20,raw,35.2,37,20,5,0.25,0.5405,0.3419,0.52,1,1,1,2145,20,0.0093,0.2703,0.1
e5_cadets,TeRed+RATE*,tered,rate_ratio,bin.117,atfull,True,257566,7424813,100,75,3,200,20,raw,38.3,37,20,4,0.2,0.4054,0.2679,0.4583,2,1,1,2144,15,0.007,0.2703,0.1
e5_cadets,identity+rate,identity,rate,bin.118,atfull,True,265865,9399067,100,75,3,200,20,raw,47.7,27,20,8,0.4,0.6667,0.5,0.5161,19,1,1,2855,18,0.0063,0.2593,0.07
e5_cadets,TeRed+naive,tered,dual_naive,bin.118,atfull,True,256554,7453735,100,75,3,200,20,raw,34.5,31,20,4,0.2,0.4839,0.283,0.4878,1,1,1,1553,15,0.0097,0.3226,0.1
e5_cadets,TeRed+RATE,tered,rate,bin.118,atfull,True,256554,7453735,100,75,3,200,20,raw,35.4,31,20,4,0.2,0.5161,0.2883,0.3922,2,2,0,1747,16,0.0092,0.3226,0.1
e5_cadets,TeRed+RATE*,tered,rate_ratio,bin.118,atfull,True,256554,7453735,100,75,3,200,20,raw,37.8,31,20,5,0.25,0.5161,0.3368,0.3922,2,2,0,2123,16,0.0075,0.3226,0.1
e5_cadets,identity+rate,identity,rate,bin.119@500000,at500000,True,18635,476913,100,75,3,200,20,raw,7.2,10,10,1,0.1,0.8,0.1778,0.8889,1,1,1,1222,8,0.0065,0.2,0.02
e5_cadets,TeRed+naive,tered,dual_naive,bin.119@500000,at500000,True,16849,255601,100,75,3,200,20,raw,5.0,15,20,2,0.1,0.9333,0.1806,0.8462,1,1,1,1029,14,0.0136,0.0667,0.01
e5_cadets,TeRed+RATE,tered,rate,bin.119@500000,at500000,True,16849,255601,100,75,3,200,20,raw,5.0,15,20,3,0.15,0.9333,0.2585,0.8462,1,1,1,871,14,0.0161,0.0667,0.01
e5_cadets,TeRed+RATE*,tered,rate_ratio,bin.119@500000,at500000,True,16849,255601,100,75,3,200,20,raw,5.6,15,20,3,0.15,0.9333,0.2585,0.8889,2,1,1,865,14,0.0162,0.0667,0.01
e5_cadets,identity+rate,identity,rate,bin.120,atfull,True,295765,9324081,100,75,3,200,20,raw,43.5,21,20,2,0.1,0.3333,0.1538,0.3846,1,1,1,2851,7,0.0025,0.2857,0.06
e5_cadets,TeRed+naive,tered,dual_naive,bin.120,atfull,True,285710,7306969,100,75,3,200,20,raw,34.5,27,20,1,0.05,0.2593,0.0838,0.4118,1,1,1,982,7,0.0071,0.2593,0.07
