n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,v4_dropped,runtime_s
41,20,4,0.2,0.3415,0.2523,0.4815,3,1,1,1982,14,0.0071,0.122,0.05,0.0828,0.3265,0.3922,0.4815,0.4149,0.3684,0.2523,A4,v4_drop_log_deg,TeRed+RATE*,rate_ratio,bin.116,atfull,100,20,raw,275843,7360340,log_deg,11.0
41,20,5,0.25,0.3415,0.2887,0.3922,2,1,1,3249,14,0.0043,0.0,0.0,0.0345,0.36,0.3922,0.3571,0.303,0.2963,0.2887,A4,v4_drop_out_in_ratio,TeRed+RATE*,rate_ratio,bin.116,atfull,100,20,raw,275843,7360340,out_in_ratio,10.9
41,20,7,0.35,0.4634,0.3988,0.5165,12,1,1,2915,19,0.0065,0.1707,0.07,0.1558,0.3265,0.2807,0.2462,0.3212,0.507,0.3988,A4,v4_drop_nbr_type_div,TeRed+RATE*,rate_ratio,bin.116,atfull,100,20,raw,275843,7360340,nbr_type_div,10.9
41,20,6,0.3,0.4634,0.3642,0.6102,5,1,1,2110,19,0.009,0.1951,0.08,0.2308,0.3265,0.4528,0.5091,0.6102,0.4675,0.3642,A4,v4_drop_self_loop,TeRed+RATE*,rate_ratio,bin.116,atfull,100,20,raw,275843,7360340,self_loop,10.9
37,20,9,0.45,0.7838,0.5717,0.5717,20,1,1,2797,29,0.0104,0.2432,0.09,0.1818,0.3913,0.4255,0.3846,0.4211,0.3889,0.5717,A4,v4_drop_log_deg,TeRed+RATE*,rate_ratio,bin.117,atfull,100,20,raw,257566,7424813,log_deg,11.1
37,20,4,0.2,0.5405,0.292,0.5534,5,1,1,2844,20,0.007,0.0,0.0,0.0468,0.4898,0.52,0.4602,0.5534,0.4598,0.292,A4,v4_drop_out_in_ratio,TeRed+RATE*,rate_ratio,bin.117,atfull,100,20,raw,257566,7424813,out_in_ratio,11.1
37,20,6,0.3,0.6216,0.4047,0.649,7,1,1,2394,23,0.0096,0.2703,0.1,0.2025,0.4255,0.4583,0.4112,0.5373,0.6106,0.4047,A4,v4_drop_nbr_type_div,TeRed+RATE*,rate_ratio,bin.117,atfull,100,20,raw,257566,7424813,nbr_type_div,11.1
37,20,7,0.35,0.6757,0.4611,0.7241,4,1,1,2505,25,0.01,0.2703,0.1,0.2857,0.4583,0.549,0.7018,0.664,0.6234,0.4611,A4,v4_drop_self_loop,TeRed+RATE*,rate_ratio,bin.117,atfull,100,20,raw,257566,7424813,self_loop,11.4
31,20,8,0.4,0.6774,0.503,0.6222,3,1,1,3143,21,0.0067,0.3226,0.1,0.1695,0.45,0.5909,0.6222,0.5153,0.5079,0.503,A4,v4_drop_log_deg,TeRed+RATE*,rate_ratio,bin.118,atfull,100,20,raw,256554,7453735,log_deg,11.1
31,20,7,0.35,0.7419,0.4756,0.6168,11,1,1,2793,23,0.0082,0.0,0.0,0.0489,0.4878,0.3922,0.3279,0.2469,0.5753,0.4756,A4,v4_drop_out_in_ratio,TeRed+RATE*,rate_ratio,bin.118,atfull,100,20,raw,256554,7453735,out_in_ratio,11.4
31,20,7,0.35,0.8387,0.4939,0.6916,8,1,1,3030,26,0.0086,0.3226,0.1,0.1802,0.4878,0.3922,0.3279,0.4507,0.6076,0.4939,A4,v4_drop_nbr_type_div,TeRed+RATE*,rate_ratio,bin.118,atfull,100,20,raw,256554,7453735,nbr_type_div,11.2
31,20,8,0.4,0.871,0.5482,0.8565,8,1,1,2481,27,0.0109,0.3226,0.1,0.2703,0.4878,0.6522,0.6809,0.76,0.7631,0.5482,A4,v4_drop_self_loop,TeRed+RATE*,rate_ratio,bin.118,atfull,100,20,raw,256554,7453735,self_loop,11.1
15,20,3,0.15,0.9333,0.2585,0.9655,3,1,1,872,14,0.0161,0.0667,0.01,0.1176,0.8462,0.8889,0.9655,0.7304,0.4541,0.2585,A4,v4_drop_log_deg,TeRed+RATE*,rate_ratio,bin.119@500000,at500000,100,20,raw,16849,255601,log_deg,0.8
15,6,1,0.1667,0.9333,0.2828,0.9655,1,1,1,817,14,0.0171,0.6,0.09,0.2353,0.9655,0.6512,0.4912,0.3294,,,A4,v4_drop_out_in_ratio,TeRed+RATE*,rate_ratio,bin.119@500000,at500000,100,20,raw,16849,255601,out_in_ratio,0.5
15,20,3,0.15,0.9333,0.2585,0.8889,2,1,1,870,14,0.0161,0.0667,0.01,0.1176,0.8462,0.8889,0.7273,0.7304,0.4541,0.2585,A4,v4_drop_nbr_type_div,TeRed+RATE*,rate_ratio,bin.119@500000,at500000,100,20,raw,16849,255601,nbr_type_div,0.5
15,20,3,0.15,0.9333,0.2585,0.8889,2,1,1,870,14,0.0161,0.0667,0.01,0.1176,0.8462,0.8889,0.7273,0.7304,0.4541,0.2585,A4,v4_drop_self_loop,TeRed+RATE*,rate_ratio,bin.119@500000,at500000,100,20,raw,16849,255601,self_loop,0.5
27,20,7,0.35,0.7407,0.4754,0.5865,4,1,1,3285,20,0.0061,0.2593,0.07,0.1519,0.5,0.5789,0.5057,0.5342,0.3697,0.4754,A4,v4_drop_log_deg,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285710,7306969,log_deg,10.9
27,20,3,0.15,0.5556,0.2362,0.65,2,1,1,3160,15,0.0047,0.0,0.0,0.0329,0.4571,0.65,0.5591,0.437,0.3896,0.2362,A4,v4_drop_out_in_ratio,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285710,7306969,out_in_ratio,10.8
27,20,5,0.25,0.7407,0.3738,0.65,2,1,1,2870,20,0.007,0.2593,0.07,0.1765,0.4571,0.65,0.5591,0.437,0.5101,0.3738,A4,v4_drop_nbr_type_div,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285710,7306969,nbr_type_div,10.9
27,20,6,0.3,0.7407,0.427,0.7047,5,1,1,3100,20,0.0065,0.2963,0.08,0.2564,0.5,0.4,0.5591,0.7047,0.5846,0.427,A4,v4_drop_self_loop,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285710,7306969,self_loop,10.9
10,20,2,0.1,0.8,0.1778,0.8889,2,1,1,484,8,0.0165,0.0,0.0,0.0052,0.75,0.8889,0.7273,0.5333,0.32,0.1778,A4,v4_drop_log_deg,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22250,286251,log_deg,0.9
10,20,2,0.1,0.8,0.1778,0.75,1,1,1,716,8,0.0112,0.7,0.07,0.2295,0.75,0.5455,0.7273,0.5333,0.32,0.1778,A4,v4_drop_out_in_ratio,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22250,286251,out_in_ratio,0.5
10,20,2,0.1,0.8,0.1778,0.8889,2,1,1,684,8,0.0117,0.0,0.0,0.0065,0.75,0.8889,0.7273,0.5333,0.32,0.1778,A4,v4_drop_nbr_type_div,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22250,286251,nbr_type_div,0.5
10,20,2,0.1,0.8,0.1778,0.8889,2,1,1,820,8,0.0098,0.0,0.0,0.0065,0.3333,0.8889,0.7273,0.5333,0.32,0.1778,A4,v4_drop_self_loop,TeRed+RATE*,rate_ratio,bin.6@400000,at400000,100,20,raw,22250,286251,self_loop,0.5
13,20,2,0.1,0.8462,0.1789,0.9167,2,1,1,471,11,0.0234,0.0769,0.01,0.1333,0.8182,0.9167,0.7458,0.5432,0.3235,0.1789,A4,v4_drop_log_deg,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16272,324747,log_deg,0.9
13,8,3,0.375,0.8462,0.5197,0.9167,3,1,1,671,11,0.0164,0.7692,0.1,0.4,0.6316,0.8182,0.9167,0.7021,,,A4,v4_drop_out_in_ratio,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16272,324747,out_in_ratio,0.6
13,20,3,0.15,0.8462,0.2548,0.9167,3,1,1,481,11,0.0229,0.0769,0.01,0.1333,0.6316,0.7619,0.9167,0.7021,0.443,0.2548,A4,v4_drop_nbr_type_div,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16272,324747,nbr_type_div,0.6
13,20,3,0.15,0.8462,0.2548,0.9167,3,1,1,481,11,0.0229,0.0769,0.01,0.1333,0.6316,0.7619,0.9167,0.7021,0.443,0.2548,A4,v4_drop_self_loop,TeRed+RATE*,rate_ratio,bin.7@400000,at400000,100,20,raw,16272,324747,self_loop,0.6
