n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,v4_dropped,runtime_s
34,20,1,0.05,0.0588,0.0541,0.1111,1,1,1,1256,2,0.0016,0.0,0.0,0.0149,0.1111,0.1053,0.1,0.0909,0.0741,0.0541,A4,v4_drop_log_deg,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,log_deg,13.4
34,20,4,0.2,0.2353,0.2162,0.3077,9,1,1,2126,8,0.0038,0.0,0.0,0.0086,0.2564,0.2273,0.2041,0.1695,0.2963,0.2162,A4,v4_drop_out_in_ratio,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,out_in_ratio,13.1
34,20,5,0.25,0.3235,0.2821,0.3179,16,1,1,3432,11,0.0032,0.1765,0.06,0.1412,0.2564,0.2273,0.2041,0.1695,0.2812,0.2821,A4,v4_drop_nbr_type_div,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,nbr_type_div,13.6
34,20,5,0.25,0.3235,0.2821,0.4453,7,1,1,3617,11,0.003,0.1765,0.06,0.24,0.2564,0.2273,0.3146,0.338,0.3929,0.2821,A4,v4_drop_self_loop,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,self_loop,13.5
41,20,3,0.15,0.1707,0.1597,0.2553,2,1,1,2044,7,0.0034,0.0,0.0,0.0432,0.2174,0.2553,0.24,0.2143,0.2176,0.1597,A4,v4_drop_log_deg,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275843,7360340,log_deg,10.6
41,20,5,0.25,0.3902,0.3048,0.4528,2,1,1,2256,16,0.0071,0.0,0.0,0.0218,0.36,0.4528,0.4068,0.338,0.3822,0.3048,A4,v4_drop_out_in_ratio,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275843,7360340,out_in_ratio,11.1
41,20,6,0.3,0.4634,0.3642,0.5229,10,1,1,2398,19,0.0079,0.1707,0.07,0.1519,0.36,0.3051,0.2647,0.2093,0.5229,0.3642,A4,v4_drop_nbr_type_div,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275843,7360340,nbr_type_div,11.2
41,20,4,0.2,0.4146,0.2698,0.5862,4,1,1,2302,17,0.0074,0.1951,0.08,0.2308,0.3265,0.4231,0.5091,0.5462,0.4072,0.2698,A4,v4_drop_self_loop,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275843,7360340,self_loop,11.7
41,20,5,0.25,0.3171,0.2796,0.3952,4,1,1,2291,13,0.0057,0.0,0.0,0.0431,0.3265,0.3922,0.3571,0.3708,0.338,0.2796,A4,v4_drop_log_deg,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275843,7360340,log_deg,10.8
41,20,6,0.3,0.3902,0.3392,0.3922,2,1,1,3077,16,0.0052,0.0,0.0,0.0225,0.36,0.3922,0.3571,0.303,0.2963,0.3392,A4,v4_drop_out_in_ratio,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275843,7360340,out_in_ratio,11.1
41,20,5,0.25,0.4634,0.3248,0.481,10,1,1,2541,19,0.0075,0.1707,0.07,0.1519,0.3265,0.2807,0.2462,0.303,0.481,0.3248,A4,v4_drop_nbr_type_div,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275843,7360340,nbr_type_div,11.0
41,20,5,0.25,0.439,0.3186,0.6102,5,1,1,2110,18,0.0085,0.1951,0.08,0.2308,0.3265,0.4528,0.5091,0.6102,0.4675,0.3186,A4,v4_drop_self_loop,TeRed+RATE,rate,bin.116,atfull,100,20,raw,275843,7360340,self_loop,11.3
30,20,3,0.15,0.2333,0.1826,0.25,6,4,0,2110,7,0.0033,0.0,0.0,0.0209,0.0,0.0,0.0,0.1333,0.2,0.1826,A4,v4_drop_log_deg,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,log_deg,12.9
30,20,4,0.2,0.2333,0.2154,0.3457,6,1,1,1761,7,0.004,0.0,0.0,0.0093,0.1818,0.2353,0.2222,0.3,0.2947,0.2154,A4,v4_drop_out_in_ratio,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,out_in_ratio,13.0
30,20,8,0.4,0.5,0.4444,0.5,16,1,1,3425,15,0.0044,0.2667,0.08,0.1579,0.1818,0.2353,0.2222,0.3,0.3636,0.4444,A4,v4_drop_nbr_type_div,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,nbr_type_div,13.8
30,20,7,0.35,0.5333,0.4226,0.6667,6,1,1,4000,16,0.004,0.2667,0.08,0.3077,0.125,0.2353,0.3333,0.5,0.5455,0.4226,A4,v4_drop_self_loop,identity+rate,rate,bin.117,atfull,100,20,raw,267500,9393683,self_loop,13.7
37,20,5,0.25,0.3514,0.2921,0.4364,6,1,1,2292,13,0.0057,0.0,0.0,0.0784,0.3182,0.3556,0.3265,0.3976,0.3582,0.2921,A4,v4_drop_log_deg,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257566,7424813,log_deg,11.8
37,20,4,0.2,0.4324,0.2735,0.5246,6,1,1,1710,16,0.0094,0.0,0.0,0.0283,0.4898,0.52,0.4602,0.4641,0.4156,0.2735,A4,v4_drop_out_in_ratio,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257566,7424813,out_in_ratio,11.7
37,20,7,0.35,0.6486,0.4547,0.6106,10,1,1,2377,24,0.0101,0.2703,0.1,0.1975,0.4583,0.3729,0.3143,0.4027,0.6106,0.4547,A4,v4_drop_nbr_type_div,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257566,7424813,nbr_type_div,12.2
37,20,5,0.25,0.5946,0.352,0.7458,5,1,1,2501,22,0.0088,0.2703,0.1,0.2857,0.4255,0.4898,0.52,0.7458,0.5432,0.352,A4,v4_drop_self_loop,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257566,7424813,self_loop,11.5
37,20,6,0.3,0.5676,0.3925,0.5625,6,1,1,2174,21,0.0097,0.0,0.0,0.0784,0.3913,0.4255,0.3846,0.4211,0.5067,0.3925,A4,v4_drop_log_deg,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257566,7424813,log_deg,10.8
37,20,5,0.25,0.5405,0.3419,0.6557,6,1,1,2550,20,0.0078,0.0,0.0,0.03,0.4898,0.52,0.4602,0.6255,0.5195,0.3419,A4,v4_drop_out_in_ratio,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257566,7424813,out_in_ratio,11.0
37,20,7,0.35,0.7297,0.4731,0.6494,8,1,1,3078,27,0.0088,0.2703,0.1,0.1975,0.52,0.4127,0.3421,0.4027,0.6473,0.4731,A4,v4_drop_nbr_type_div,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257566,7424813,nbr_type_div,11.1
37,20,7,0.35,0.6486,0.4547,0.7241,4,1,1,2959,24,0.0081,0.2703,0.1,0.2857,0.4583,0.549,0.7018,0.664,0.6106,0.4547,A4,v4_drop_self_loop,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257566,7424813,self_loop,11.3
27,20,6,0.3,0.5185,0.3801,0.4494,7,1,1,2233,14,0.0063,0.0,0.0,0.028,0.2,0.3636,0.3333,0.2857,0.3846,0.3801,A4,v4_drop_log_deg,identity+rate,rate,bin.118,atfull,100,20,raw,265865,9399067,log_deg,12.8
27,20,5,0.25,0.5185,0.3373,0.5668,8,1,1,1943,14,0.0072,0.0,0.0,0.0123,0.3636,0.3077,0.3733,0.3146,0.5091,0.3373,A4,v4_drop_out_in_ratio,identity+rate,rate,bin.118,atfull,100,20,raw,265865,9399067,out_in_ratio,13.0
27,20,9,0.45,0.7407,0.5599,0.6847,12,1,1,3630,20,0.0055,0.2593,0.07,0.1351,0.3636,0.3077,0.3733,0.3146,0.5963,0.5599,A4,v4_drop_nbr_type_div,identity+rate,rate,bin.118,atfull,100,20,raw,265865,9399067,nbr_type_div,13.5
27,20,8,0.4,0.6667,0.5,0.6667,6,1,1,3630,18,0.005,0.4074,0.11,0.2857,0.5405,0.4255,0.5333,0.6292,0.5963,0.5,A4,v4_drop_self_loop,identity+rate,rate,bin.118,atfull,100,20,raw,265865,9399067,self_loop,13.4
